id,transliteration,translation
198,adrû,ibex-like
199,adudilu,praying mantis
200,adugu,indeed
201,adurtu,village
202,aduru,mirror
203,adurû,village
204,adurû,farmstead
205,aduššu,enclosure wall
206,adû,(treaty-)oath
207,adû,supernatural power of an oath
208,adû,now
209,adû,a (day's) work
210,adû,stint
211,adû,leader
212,adāmu,to be engaged in
213,adānu,fixed date
214,adānu,time limit
215,adāru,to be dark
216,adāru,gloomy
217,adāru,to be afraid (of)
218,adāru,fear
219,adīni,hitherto
220,adīni,till now
221,adīriš,fearfully
222,adīru,fear
223,adīšu,till then
224,adūgu,oven
225,agadibbu,hand seeder-plough
226,agakku,whey
227,agammu,marsh(es)
228,agammu,lagoon
229,agana,well now
230,agana,come on!
231,agannu,bowl
232,agannu,cauldron
233,agannû,these
234,aganutillû,dropsy
235,agappu,wing
236,agargarūtu,fish resources
237,agarinnu,womb
238,agarinnu,basin
239,agarinnu,crucible
240,agarinnu,(first) beer mash
241,agatukullu,butt end of a weapon
242,agašgû,youngest son
243,agašgû,junior
244,agašgû,novice
245,aggiš,furiously
246,aggu,furious
247,aggāgû,furious
248,agirtu,hired maid-servant
249,agittû,headband
250,agittû,bandage
251,agru,hireling
252,agru,hired man
253,agrunnu,cella
254,agrūtu,hire (contract)
255,agubbû,holy water vessel
256,agugillu,sorcerer
257,agugiltu,sorceress
258,aguhhu,sash
259,aguhhu,belt
260,agurru,baked brick
261,agurru,blue-glazed brick
262,agâ,this
263,agû,tiara
264,agû,crown
265,agû,wave
266,agû,flood
267,agāgu,to be(come) furious
268,agālu,donkey
269,agāmi,today
270,agāmu,to be furious
271,agāru,to hire
272,agāru,rent
273,agāšū,that (one)
274,agāšū,those (ones)
275,agūgūtu,status of agūgu
276,agūnu,tiara
277,aha,one by one
278,ahamma,apart
279,ahamma,separately
280,ahannâ,on this bank
281,aharriš,in future
282,aharru,later
283,aharru,thereafter
284,ahartiš,for the future
285,aharātu,on the far bank
286,ahennâ,each by it/himself
287,ahennâ,apart
288,ahennâ,separately
289,ahertu,remainder
290,ahhu,dry wood
291,ahhāzu,jaundice
292,ahhūtu,brotherhood
293,ahhūtu,sisterhood
294,ahia,outside
295,ahiztu,married woman
296,ahiš,on o.'s own
297,ahlamatti,in Aramaic
298,ahlamû,Aramaic
299,ahmaham,one another
300,ahmāmu,one another
301,ahrâtaš,for ever after
302,ahrûtu,descendants
303,ahrītiš,for the future
304,ahrītu,later time
305,ahu,brother
306,ahu,arm
307,ahu,side
308,ahula,alas!
309,ahulabakku,lamentation with ahulap-exclamations
310,ahulap,(it is) enough!
311,ahullâ,on the other bank
312,ahullâ,on the other side
313,ahullâ,beyond
314,ahum,separately
315,ahum,besides
316,ahunê,separately
317,ahunê,individually
318,ahunêš,individually
319,ahurrû,junior
320,ahuzzatu,marriage gift
321,ahuzzatu,marriage-like protection
322,ahzūtu,mounting(s)
323,ahê,separately
324,ahê,by itself
325,ahîš,each other
326,ahîš,one another
327,ahû,outside(r)
328,ahû,strange
329,ahû,to fraternize
330,ahû,become brothers
331,ahā'iš,each other
332,ahā'iš,one another
333,ahāmiš,each other
334,ahāmiš,one another
335,ahānu,to another place
336,ahāru,to be behind
337,ahāta,in equal shares
338,ahātatu,little sister
339,ahātu,sister
340,ahātu,bank
341,ahātu,sleeves
342,ahātu,limit
343,ahātūtu,sisterhood
344,ahāzu,to take
345,ahāzu,marry
346,ahāzu,learn
347,ahītu,side
348,ahītu,surroundings
349,ahītu,environment
350,ahītu,extra shares
351,ahītu,misfortune
352,ahītu,additional payment
353,ahšadrapannu,satrap (of the Persian empire)
354,ai,not
355,ai,alas!
356,ai,where?
357,akalu,bread
358,akalu,loaf
359,akalu,food
360,akalu,expenditure
361,akalūtu,tree
362,akanna,thus
363,akanna,here
364,akannaka,there
365,akannama,similarly
366,akannama,likewise
367,akanni,now
368,akbaru,jerboa
369,akia,in the following way
370,akiltu,expended goods
371,akiltu,consumption
372,akkadattu,in Akkadian
373,akkadû,from Akkade
374,akkadû,made in Akkade
375,akkadû,Akkadian
376,akkadīya,cock
377,akkadīya,rooster
378,akkamdaš,spoke (of a wheel)
379,akkannu,wild ass
380,akkilu,eater
381,akku,furious
382,akkullu,hatchet
383,akkullu,pick(axe)
384,akkullu,adze
385,akkullātu,clods
386,akkû,owl
387,akkā'i,how?
388,akkā'ikī,how much
389,akkā'ikī,how many?
390,akla,apart from
391,aklu,eaten
392,aklu,consumed
393,aktam,seed of a.
394,akukarumma,to redeem
395,akukia,so much ... so much
396,akukūtu,firebrand
397,akânu,hither
398,akânu,this way
399,akû,weak
400,akû,powerless
401,akû,humble
402,akû,cripple
403,akû,mooring pole
404,akûtu,powerlessness
405,akûtu,disablement
406,akālu,to eat
407,akāmmu,granary
408,akāmu,dust-cloud
409,akāmu,mist
410,akāwa,on (this) side
411,akāšu,to walk
412,akī,as
413,akītu,akītu day/festival
414,akṣu,brazen
415,akṣu,dangerous
416,aladlammû,human-headed bull-colossus
417,alahhinu,miller
418,alaktu,way
419,alaktu,course
420,alallû,drain
421,alallû,pipe
422,alamgû,seal-cutter
423,alamgātu,sculptures
424,alandimmû,physique
425,alandimmû,form
426,alappānu,sweet pomegranate
427,alappānu,(female) brewer
428,alapû,seaweed
429,alapû,algae
430,alašû,Cypriot
431,aldû,(grain) quota
432,algarsurrû,drumstick
433,ali,where?
434,ali,surely
435,alimu,honoured
436,alimu,of high rank
437,alkakātu,ways of life
438,alkakātu,actions
439,alkakātu,behaviour
440,alku,state service
441,alku,course
442,alla,beyond
443,alla,apart from
444,allak,hub (of a wheel)
445,allaku,always moving
446,allallu,powerful
447,allapak,when
448,alli'ayya,driveller
449,allikâmma,somewhere else
450,allu,hoe
451,allu,pickaxe
452,alluhappu,(a kind of) hunting net
453,alluhappu,(a net-like sack)
454,allukâ,there
455,alluttu,crab
456,allânu,from there
457,allû,that (one)
458,allû,certainly
459,allû,furthermore
460,allāku,traveller
461,allāku,messenger
462,allāku,agent
463,allānu,oak
464,allānu,acorn
465,allītiš,the day after tomorrow
466,almattu,widow
467,almānu,widower
468,almānūtu,widow(er)hood
469,almīn,without number
470,almīn,innumerable
471,alpu,bull
472,alpu,threatening
473,altalû,forest
474,altarru,strong
475,altarru,heroic
476,altaru,assigned work
477,alti,well
478,alti,now then!
479,alumma,wherever
480,aluzinnu,buffoon
481,aluzinnu,clown
482,alû,bull of heaven
483,alû,pipe
484,alā'u,to lick
485,alādu,to give birth (to)
486,alāku,to go
487,alālu,work song
488,alālu,to hang up
489,alālu,suspend
490,alālu,to sing a joyful song
491,alālu,boast
492,alāpu,to make immovable
493,alāpu,paralyse
494,alātu,to swallow (up)
495,alīlu,powerful
496,ama'errû,female mourner
497,amadēnu,(worker) with a.
498,amagallu,forest
499,amahhu,enceinte
500,amahhu,city-wall
501,amališ,like an a. tree
502,amartu,partition wall
503,amaru,pile of bricks
504,amaru,side wall
505,ambassu,(game-)park
506,amertu,view
507,amertu,opinion
508,amertu,inspection
509,amertu,review
510,amma,look!
511,amma,lo!
512,ammaka,there
513,ammaki,instead of
514,ammal,as much
515,ammal,as many as
516,ammannâ,anybody
517,ammar,as much as
518,ammarkarra,accountant
519,ammartu,overseer
520,ammartû,eaglet
521,ammatu,forearm
522,ammatu,cubit
523,ammatu,earth
524,ammi,there
525,ammidakku,lye
526,ammiu,that
527,ammu,people
528,ammânu,from there
529,ammînannâ,why now?
530,ammîša,there
531,ammîša,thither
532,ammûri,at that time
533,ammāmin,would that
534,ammāmin,if only
535,ammāru,overseer
536,ammīni,why?
537,ampannuhlu,an ampannu-wood worker
538,amru,seen
539,amru,chosen
540,amrummu,outlet
541,amrummu,water-gate
542,amrû,beam
543,amrû,timber
544,amtu,maid
545,amtu,female slave
546,amtuttu,status of a female slave
547,amu,raft
548,amumihhuri,substitute
549,amumihhuri,proxy
550,amumunna,city gate
551,amurdinnu,bramble
552,amurru,Amurru
553,amurrû,from Amurru
554,amurrānu,western
555,amursānu,wild pigeon
556,amû,one-handed
557,amû,palate
558,amû,list of reciprocals
559,amālu,to be veiled
560,amālu,covered
561,amāriš,to look at
562,amāru,to see
563,amāru,to pile up bricks
564,amāšu,to be paralysed
565,amīru,obstruction of the ear (through ear-wax)
566,amīrāniš,like a deaf man
567,amšû,palm fibre
568,amšāli,yesterday
569,amšālû,of yesterday
570,amūtu,status of a maid
571,amūtu,female slave
572,amūtu,liver
573,amūtu,meteoric iron
574,ana,for
575,ana,I
576,anadaru,bearded
577,anameru,seed of a.
578,ananihu,mint
579,anantu,battle
580,anantu,strife
581,andaš,king
582,anduhallatu,(a kind of) lizard
583,andullu,shelter
584,andullu,canopy
585,andunānu,substitute
586,andurû,(a kind of) door
587,andurāru,freedom
588,andurāru,exemption
589,andēsu,inspection
590,andēsu,review
591,angallu,wise
592,angillu,lament
593,angubbû,tutelary deity
594,angāšu,plum (tree)
595,anhu,tired
596,anhūtu,tiredness
597,anhūtu,dilapidation
598,animû,kindness
599,animû,peace
600,ankibītu,of heaven and earth
601,anmû,this
602,anna,yes
603,anna,certainly
604,annaka,here
605,annaku,tin
606,annaku,lead
607,annania,such-and-such
608,annanna,so-and-so
609,annanna,such-and-such
610,anni,now
611,annikīam,here
612,annikīam,hither
613,annimiš,no sooner than
614,annimmû,this one here
615,annittān,this then
616,annu,(word of) consent
617,annu,assent
618,annu,approval
619,annukâ,here
620,annummiš,here
621,annummiš,hither
622,annuqu,ring
623,annuš,look!
624,annânu,here
625,annânu,from here
626,annîš,here
627,annîš,hither
628,annîša,here
629,annîša,hither
630,annû,this
631,annû,those
632,annû,look!
633,annûri,at this moment
634,annûri,now
635,annāma,there
636,annāma,thus
637,annāma,in this way
638,annīnati,this
639,annīnu,here
640,anqullu,feverish heat
641,antalû,eclipse
642,antu,ear of barley
643,anu,(the cuneiform sign) AN
644,anuki,I
645,anumma,now
646,anummamê,here is
647,anummânu,here
648,anummīkê,there
649,anuntu,fight
650,anuntu,combat
651,anzalīlu,matchmaker
652,anzalīlu,pimp
653,anzanuzû,water-table
654,anzanuzû,subterranean waters
655,anzillu,taboo
656,anzillu,abomination
657,anzâniš,like Anzû
658,anāhu,to be(come) tired
659,anāhu,to perform an inhu song
660,anāku,I; me
661,anāma,as soon as
662,anāpu,to rage
663,anāqāte,she-camels
664,anīhu,tired
665,anīhu,weary
666,anīna,now
667,anīna,earlier
668,anīna,where?
669,anīnu,we
670,anšūtu,paralysis
671,anūmīšu,then
672,anūmīšu,at that time
673,anūnu,fear
674,anūnu,dread
675,anṣabtu,ring
676,anṣabtu,earring
677,anṣu,obstinate
678,apadu,small
679,aparaku,a. garment
680,apiltu,remainder
681,apiltu,remaining debts
682,apiltu,heiress
683,apiš,like reed-beds
684,apkallatu,wise one
685,apkallu,wise man
686,apkallu,expert
687,apkīsu,furrow
688,aplatu,heiress
689,aplu,late
690,aplu,heir
691,aplu,son
692,apluhtu,armour
693,aplūtu,status of heir
694,aplūtu,inheritance
695,aplūtu,estate
696,appadān,pillared hall
697,appadān,apadana
698,appahu,branches
699,apparrû,with tufted hair
700,apparrītu,tufted hair
701,apparrītu,strand of hair
702,appatiš,as with a bridle
703,appatu,tip
704,appatu,bridle
705,appatu,rein
706,appitti,likewise
707,appitti,just as
708,appiš,since
709,appiš,given that
710,appu,nose
711,apputtu,please
712,apputtu,it is urgent
713,appānu,chick-pea
714,appāru,reed-bed
715,appāru,marsh
716,appātu,portico
717,appītā,nostrils
718,appūna,moreover
719,apru,with head covered
720,apsasû,sphinx
721,apsû,(cosmic) underground water
722,aptu,window
723,aptu,window opening
724,apu,reed-bed
725,apu,reeds (coll.)
726,apu,hole
727,apu,opening
728,apuhhu,fear
729,aputtu,difficult situation
730,apâtu,numerous
731,apâtu,teeming
732,apû,veiled
733,apû,to become veiled
734,apû,cloudy
735,apālu,to pay
736,apālu,answer
737,apālu,to be (too) late
738,apāniš,through the window(s)
739,apāpu,infiltrate
740,apāru,to cover the head
741,apāšu,to insult
742,apšitû,agreed allocation
743,aqdamu,former time
744,aqdamātu,near bank
745,aqqabu,remainder
746,aqqaru,very precious
747,aqrabu,scorpion
748,aqru,rare
749,aqru,valuable
750,aqû,to wait (for)
751,aqāru,to be(come) rare
752,aqāru,precious
753,arad-šarrūtu,royal service
754,araddu,wild ass
755,arahhu,storehouse
756,arahhu,granary
757,arahû,fixed metrological ratio
758,arakarû,factor
759,arallû,netherworld
760,aramanātu,lairs
761,aramanītu,constant in an equation
762,arammu,causeway
763,ararratu,female miller
764,ararratu,grinder
765,ararru,miller
766,ararru,grinder
767,ararrūtu,work of a miller
768,arattû,excellent
769,arba'u,four
770,arballu,sieve
771,arbu,waste
772,arbu,uncultivated
773,arbu,fugitive
774,arbu,runaway
775,arbūtiš,into barren land
776,arbūtu,desolation
777,arbūtu,flight
778,arbūtu,rout
779,ard-ēkallūtu,palace service
780,ardadu,thief
781,ardanānu,phantom
782,ardanānu,double
783,ardatu,girl
784,ardatu,young woman
785,ardu,slave
786,ardu,servant
787,ardūtu,slavery
788,argamannu,purple
789,argukku,roller
790,arhiš,quickly
791,arhiš,hastily
792,arhišam,monthly
793,arhišam,every month
794,arhu,fast
795,arhu,quick
796,arhu,cow
797,arhu,half-brick
798,arhussu,every month
799,arhussu,monthly
800,arhā,every month
801,arhānû,green
802,arhānû,unripe date
803,arhītu,monthly instalment
804,ariktu,length
805,arinnu,well
806,arka,afterwards
807,arka,later
808,arka,behind
809,arkabinnu,half-door
810,arkat,after
811,arkatu,rear
812,arki,after
813,arki,behind
814,arkiš,back
815,arku,long
816,arkâ,henceforth
817,arkû,rear
818,arkû,later
819,arkāniš,back
820,arkāniš,later
821,arkāniš,subsequently
822,arkānu,later
823,arkānu,afterwards
824,arkīnišu,afterwards
825,arkīta,later
826,arkīta,afterwards
827,arkītu,posterity
828,arkītu,descendant(s)
829,arkītu,remainder
830,arkītu,secondary position
831,arkītu,later
832,arkītu,afterwards
833,arkītu,behind me
834,arkītu,future
835,arkītu,latter part of the year
836,arkītu,for the future
837,arkītu,always
838,arkīši,thereafter
839,armaniš,like an apricot?
840,armannu,apricot? (tree)
841,armaya,Aramaic
842,armu,covered
843,armu,mountain goat
844,armūtu,desolation
845,arnabtu,female hare
846,arnabu,hare
847,arnu,guilt
848,arnu,fault
849,arnu,penalty
850,arqu,yellow
851,arqu,green
852,arqu,greenery
853,arqūtu,greenness
854,arqūtu,freshness
855,arrabu,dormouse
856,arraku,very long
857,arraku,tall
858,arraqu,very green
859,arratu,curse
860,arru,cursed
861,arru,decoy bird
862,arrā'u,on the ground
863,arrātu,brand mark
864,arrūtu,role as decoy
865,arsuppu,carp
866,arsuppu,carp scales
867,arsuppu,einkorn
868,artu,branches
869,artu,foliage
870,artāma,blessed state
871,aru,branch
872,aru,frond
873,aru,hide
874,arugimānu,legal claim
875,aruppu,armpit
876,arurtu,famine
877,arurtu,hunger
878,arutû,mountain
879,arwiu,male gazelle
880,arzānu,barley-groats
881,arâniš,like eagles
882,arû,result
883,arû,granary
884,arû,storehouse
885,arû,to vomit
886,arû,to be(come) pregnant
887,arû,conceive
888,arû,hungry
889,arû,to cut off
890,arādu,to serve
891,arāhu,to hasten
892,arāhu,to devour
893,arāhu,destroy
894,arāku,to be long
895,arāmu,to cover
896,arānu,chest
897,arānu,cashbox
898,arānu,coffin
899,arānu,to be guilty
900,arāqu,to be(come) green-yellow
901,arāqu,pale
902,arāru,curse
903,arāru,to curse
904,arāru,insult
905,arāru,to be convulsed
906,arītu,pregnant (woman)
907,arītu,shield
908,aršu,dirty
909,aršātu,barley
910,arūru,outlet of a canal
911,arūtu,(clay) pipe
912,asa'ītu,tower
913,asakkiš,like s.th. tabooed
914,asakku,taboo
915,asikilla,holy water
916,asirtu,female captive
917,askuppu,(threshold) slab
918,asliš,like sheep
919,aslu,ram
920,aslu,sheep
921,aslu,finger (i.e. subdivision) of a. cubit
922,asmiš,in a fitting manner
923,asmu,fitting
924,asmu,suitable
925,asnû,(date) from Dilmun
926,aspastu,lucerne
927,aspastūa,fodderer
928,asqubbītu,hump
929,assammu,goblet
930,assammu,drinking vessel
931,assaru,charioteer
932,assinnūtu,to act as an assinnum
933,assukku,sling-stone
934,assurri,(if) perchance
935,asu,myrtle
936,asu,bear
937,asumittu,inscribed slab
938,asuppu,out-building
939,asuppu,annexe
940,asurrakku,subterranean waters
941,asurrû,lower course
942,asurrû,footing
943,asâtu,female doctor
944,asû,physician
945,asûtu,profession of physician
946,asûtu,medical skill
947,asāmu,to be(come) fitting
948,asāmu,suitable
949,asāmu,seasonable
950,asānu,bear-like
951,asāqu,to strengthen
952,asīdu,heel
953,asīru,captive
954,asīru,prisoner of war
955,asīrūtu,captivity
956,asītu,female physician
957,asūmû,stele
958,atappiš,like a canal
959,atappu,(small) canal
960,atappu,ditch
961,atbaru,basalt
962,athusu,carrying-pole
963,athû,companions
964,athû,partners
965,athûtu,partnership
966,atkuppu,craftsman making objects of reeds
967,atkuppūtu,craft of the reed worker
968,atmanu,cella
969,atmanu,inner sanctum
970,atmanu,temple
971,atmāṣu,stubborn
972,atnu,prayer
973,atriš,very much
974,atriš,copiously
975,atru,huge
976,atru,excellent
977,atru,surplus
978,attadû,spillway
979,attamannu,each one
980,attamannu,whoever you (m.) are
981,attamukarumma,to conspire
982,attartu,(military) cart
983,attaru,substitute
984,attaru,replacement
985,attaššihu,paternal
986,atteru,companion
987,atterūtu,friendship
988,attimannu,whoever you (f.) are
989,attina,you
990,attunu,you
991,attā,you
992,attī,you
993,attū-,belonging to
994,atulīmānu,both hands
995,atwû,speech
996,atwû,word
997,atwû,manner of speech
998,atû,gatekeeper
999,atû,porter
1000,atûtu,function of gatekeeper
1001,atā,why?
1002,atāku,to be(come) bent
1003,atāku,crooked
1004,atānu,she-ass
1005,atāru,to be(come) outsize
1006,atāru,surplus
1007,atātu,layers (of reed)
1008,atūdu,wild sheep
1009,atūdu,ram
1010,atūtu,female doorkeeper
1011,awiharu,plough
1012,awirānu,standing water
1013,awurriqānu,jaundice
1014,awurriqānu,plant for curing jaundice
1015,awû,to speak
1016,awātu,word
1017,awātu,matter
1018,awīliš,like a human being
1019,awīltu,woman
1020,awīlu,man
1021,awīlūtu,humanity
1022,awīru,field
1023,awītu,value (of goods)
1024,ayabba,the sea
1025,ayabbītu,of the sea
1026,ayyabtu,(f.) enemy
1027,ayyabāš,let me not be put to shame
1028,ayyaka,where?
1029,ayyaka,somewhere
1030,ayyaka,where
1031,ayyaka,how?
1032,ayyakamma,somewhere
1033,ayyalatu,hind
1034,ayyalu,stag
1035,ayyalu,deer
1036,ayyalu,ally
1037,ayyarahi,gold
1038,ayyartu,white coral
1039,ayyaru,flower
1040,ayyaru,rosette
1041,ayyaru,young man
1042,ayyarû,rosette-like
1043,ayyekamēni,anywhere
1044,ayyikâ,where
1045,ayyikâ,where to?
1046,ayyikâni,where to?
1047,ayyikīam,where?
1048,ayyiš,where?
1049,ayyiš,whither?
1050,ayyiša,whither?
1051,ayyišamma,to anywhere
1052,ayyu,which?
1053,ayyumma,any
1054,ayyumma,anyone
1055,ayyummê,anyone
1056,ayyābiš,in a hostile manner
1057,ayyābu,enemy
1058,ayyābūtu,hostility
1059,ayyāmi,where?
1060,ayyāniš,whither
1061,ayyāniš,where?
1062,ayyānu,where?
1063,ayyānumma,anywhere
1064,ayyārû,born in the month Ayyāru
1065,ayyāṣu,weasel
1066,azamillu,sack
1067,azamillu,net
1068,azamru,fruit
1069,azamrītu,lance
1070,azannu,quiver
1071,azaru,lynx
1072,azibatu,help
1073,azmarû,lance
1074,azugallatu,chief physician (f.)
1075,azugallu,chief physician
1076,azugallūtu,higher medical art
1077,azupīru,saffron
1078,azupīrānītu,resembling saffron
1079,azzatu,she-goat
1080,azzubūtu,status of divorced woman
1081,azû,to sigh
1082,azû,gasp
1083,azāru,to help
1084,azāzu,to buzz
1085,azīru,sputum
1086,ašahhu,granary
1087,ašahhu,storehouse
1088,ašamšāniš,like a dust storm
1089,ašamšūtu,dust storm
1090,ašar,straightaway
1091,ašarettu,crack troops
1092,ašari,at the same place
1093,ašariš,there
1094,ašariš,thither
1095,ašartu,waste land
1096,ašarēdu,first and foremost
1097,ašarēdu,pre-eminent
1098,ašarēdūtu,pre-eminence
1099,ašaršani,elsewhere
1100,ašaršani,to another place
1101,ašgagu,fight
1102,ašgigû,arsenic
1103,aširtu,check
1104,aširtu,inspection
1105,aširtu,tithe
1106,ašiu,(meteoric) iron
1107,ašišû,miserable
1108,ašišû,wretched
1109,aškuttu,locking bar
1110,aškāpu,leatherworker
1111,aškāpūtu,leatherwork
1112,aškāpūtu,craft of the leatherworker
1113,ašlaktu,washerwoman
1114,ašlalû,decorative fancy work
1115,ašlu,rush
1116,ašlu,rope
1117,ašlukkatu,storeroom
1118,ašlukku,storeroom
1119,ašlāku,washerman
1120,ašlāku,fuller
1121,ašlākūtu,craft of the washerman
1122,ašlākūtu,fuller
1123,ašmetu,dust storm
1124,ašnan,grain
1125,ašnan,cereals
1126,ašnu,eye socket
1127,ašnugallu,alabaster
1128,ašpaltu,social inferior
1129,ašqulālu,lasso
1130,ašqulālu,whirlwind
1131,ašqūdānu,like an a. (rodent)
1132,ašrakīam,there
1133,ašrakīam,in that very place
1134,ašratu,heaven
1135,ašriš,humbly
1136,ašriš,to that place
1137,ašriš,there
1138,ašriš,towards
1139,ašru,taken care of
1140,ašru,place
1141,ašru,site
1142,ašrānu,there
1143,ašrānu,that very place
1144,aštabarru,lance-bearer
1145,aštammu,tavern
1146,aštammu,hostel
1147,aštammû,belonging to the tavern
1148,aštapīru,slaves
1149,aštapīru,servants
1150,aštapīru,domestic staff
1151,aštaru,goddess
1152,ašturru,gnat
1153,aštû,throne
1154,ašubbatu,woman
1155,ašubbatu,wife
1156,ašuštu,affliction
1157,ašuštu,grief
1158,ašâtu,reins
1159,ašû,plant(s) for a. disease
1160,ašû,living creatures
1161,ašû,distinguished
1162,ašû,noble
1163,ašābu,to sit (down)
1164,ašābu,dwell
1165,ašāgu,camelthorn
1166,ašāpu,to exorcise
1167,ašāru,to muster
1168,ašāru,review
1169,ašāšu,to be distressed
1170,ašāšu,to catch
1171,ašāṭu,to be(come) stiff
1172,ašāṭu,difficult
1173,ašītu,chaos
1174,ašītu,confusion in battle
1175,ašītu,metal band
1176,ašītu,strap
1177,ašītu,midday
1178,ašša,because
1179,ašša,inasmuch as
1180,ašša,seeing that
1181,aššaru,expert
1182,aššatu,wife
1183,aššišu,unruly
1184,aššišu,disordered
1185,aššu,because (of)
1186,aššunu,they
1187,aššurayītu,Assyrian
1188,aššurû,Assyrian
1189,aššābu,tenant
1190,aššābūtu,tenancy
1191,aššūtu,marriage
1192,aššūtu,status of a wife
1193,ašūhu,pine-tree
1194,ašṭu,stiff
1195,ašṭu,difficult
1196,ašṭūtu,obduracy
1197,ašṭūtu,stiffness
1198,aṣappu,pack animal
1199,aṣpu,sling
1200,aṣpu,catapult
1201,aṣû,to go out
1202,ba''erūtu,substantiation (of evidence)
1203,ba''ītu,thing sought
1204,ba'latu,mistress
1205,ba'lu,large
