,id,translation,transliteration
97,98,Abī-ilī,A-bi-lí
98,99,Abi-lamassi,A-bi-lá-ma-sí
99,100,Abi-lamassī,A-bi-lá-ma-sí
100,101,Abī-lamassī,A-bi-lá-ma-sí
101,102,Abī-lamdum,a-bi-la-am-dum
102,103,Abī-lamdum,a-bi4-la-am-dum
103,104,Abī-nāṣir,a-bi-na-ṣir
104,105,Abī-nāṣir,a-bi-na-ṣé-er
105,106,Abī-nāṣir,a-bi4-na-ṣí-ir
106,107,Abī-nimrī,a-bi4-ni-im-ri
107,108,Abi-rušakim,a-bi-ru-ša-ki-im
108,109,Abi-rušakim,a-bi-ru-ša-kim
109,110,Abī-ṣura,a-be-zu-ra
110,111,Abī-ṣura,a-bi-ṣu-ra
111,112,Abī-ṣura,a-pì-zu-ra
112,113,Abī-ṭāb,A-bi-DU10
113,114,Abī-tukultī,A-bi-tù-kul-tí
114,115,Abī-waqar,A-bi-wa-qar
115,116,Abī-waqar,A-bi-a-qar
116,117,Abī-wēdum,a-bi-we-du
117,118,Abī-wēdum,a-bi-we-du-um
118,119,Abī-wēdum,a-bí-we-dum
119,120,Abiat,a-bi-a-at
120,121,Abiat,a-bi-at
121,122,Abiat,a-bi4-at
122,123,Abiat,a-pí-a-at
123,124,Abiati,a-bi-at-i
124,125,Abila,A-bi-la
125,126,Abilia,A-bi-li-a
126,127,Abilia,A-be-li-a
127,128,Abinara,a-bi-na-ra
128,129,Abinara,a-bi4-na-ra
129,130,Abirba,a-pè-er-ba
130,131,Abirba,ab-ir-ba
131,132,Abirih,A-bi-ri-ih
132,133,Abisamutim,a-bi4-sá-mu-tim
133,134,Abisamutum,a-bi4-sá-mu-tim
134,135,Abiya,A-be-e
135,136,Abiya,a-bi-a
136,137,Abiya,A-bi-a-a
137,138,Abiya,A-be-a-a
138,139,Abiya,A-be-i-a-a
139,140,Abiya,a-bi4-a
140,141,Abiya,A-bi4-a-a
141,142,Abiziašu,a-bi-zi-a-šu
142,143,Abiziašu,a-pè-zi-a-šu
143,144,Abiziašu,a-pè-zi-ah-šu
144,145,Abiziašu,a-pé-zi-a-šu
145,146,Abluhul,Áb-lu-hu-ul
146,147,Abšeni,Áp-ší-i-ni
147,148,Abu,a-bu
148,149,Abu,a-bu-ú
149,150,Abu-lamassī,a-bu-la-ma-sí
150,151,Abu-lamassī,a-bu-lá-ma-sí
151,152,Abu-šalim,A-bu-ša-lim
152,153,Abu-ṭāb,A-bu-hi
153,154,Abu-ṭāb,A-bu-DU10
154,155,Abu-waqar,A-bu-qar
155,156,Abua,a-bu-a
156,157,Abua,a-bu-a-a
157,158,Abua,a-bu-ú-a
158,159,Abuani,A-bu-a-ni
159,160,Abuattil,a-bu-at-il
160,161,Abubu,A-bu-bu
161,162,Abula,A-bu-lá-a
162,163,Abulāya,a-bu-la-a
163,164,Abulāya,a-bu-lá-a
164,165,Abulu,a-bu-lu
165,166,Abum-ilī,A-bu-um-DINGIR
166,167,Abum-ilī,A-bu-um-ili
167,168,Abum-ilum,A-bu-um-DINGIR
168,169,Abuna,a-bu-na
169,170,Abuna,a-pu-na
170,171,Abunakia,a-bu-na-ki-a
171,172,Abuni,a-bu-ni
172,173,Abuni,a-bu-ni-i
173,174,Abuna,a-bu-ni
174,175,Abuna,a-bu-ni-i
175,176,Abusa,A-bu-sá-a
176,177,Abusa,A-bu-sà
177,178,Abušalim,a-bu-ša-lim
178,179,Abuta,A-bu-ta-a
179,180,Abuta,a-bu-ta
180,181,Abutria,A-bu-ut-ri-a
181,182,Abutria,a-bu-ut-ri-a
182,183,Abutria,a-pu-ut-ri-a
183,184,Abutum,a-bu-tum
184,185,Abuya,A-bu-a-a
185,186,Abuza,A-bu-za
186,187,Abuzia,A-bu-zi-a
187,188,Ad-dānni,a-ta-ni
188,189,Ad-dānni,ad-da-ni
189,190,Adā,A-da-a
190,191,Adā,A-da-a-a
191,192,Adā,A-da
192,193,Adad-<gap>-ur-zu,{d}IM-<gap>-ur-zu
193,194,Adad-asû,{d}IŠKUR-a-ZU
194,195,Adad-asû,{d}IŠKUR.A.ZU
195,196,Adad-bani,{d}IM-ba-ni
196,197,Adad-bāni,{d}IM-ba-ni
197,198,Adad-bēlāni,{d}IM-be-lá-ni
198,199,Adad-bēlāni,{d}IM-bé-lá-ni
199,200,Adad-bēlāni,{m}{d}IŠKUR-be-lá-ni
200,201,Adad-bēlī,{d}IM-be-li
201,202,Adad-damiq,{d}IM.SIG5
202,203,Adad-damiq,{d}IŠKUR.SIG5
203,204,Adad-dān,{d}IM-dan
204,205,Adad-dān,{d}IŠKUR-da-an
205,206,Adad-dān,{d}IŠKUR-dan
206,207,Adad-dān,IŠKUR-da-an
207,208,Adad-dān,IŠKUR-dan
208,209,Adad-dugul,{d}IM--du-gu5-ul
209,210,Adad-ellat,{d}IM-ILLAT
210,211,Adad-ellat,A-de8-lá-at
211,212,Adad-ennam,{d}IŠKUR-e-nam
212,213,Adad-ennam,{d}IŠKUR-en-nam
213,214,Adad-gāmil,{d}IM-ga-mil
214,215,Adad-gāmil,{d}IM-ga-mì-il5
215,216,Adad-gāmil,{d}IŠKUR-ga-mì-il5
216,217,Adad-husanni,{d}IM-hu-sà-ni
217,218,Adad-hussanni,{d}IM-hu-sà-ni
218,219,Adad-hussī,{d}IM-hu-sí
219,220,Adad-ilī,{d}IM-i-li
220,221,Adad-ilka,{d}IM-DINGIR-kà
221,222,Adad-malik,{d}IM-ma-lik
222,223,Adad-mālik,{d}IM-ma-lik
223,224,Adad-nāṣir,{d}IM-na-ṣir
224,225,Adad-PA.ZI,{d}IM-PA.ZI
225,226,Adad-palil,{d}IM-pá-li-il5
226,227,Adad-pilah,{d}IM-pì-lá-ah
227,228,Adad-rabi,{d}IM-GAL
228,229,Adad-rabi,{d}IŠKUR.GAL
229,230,Adad-rabi,{d}IŠKUR-re-be
231,231,Adad-rabi,{d}IM.GAL
232,232,Adad-rabi,{d}IŠKUR-ra-bi
233,233,Adad-rabi,{d}IŠKUR-ra-bi4
234,234,Adad-rabi,{d}IM-ra-bi
235,235,Adad-rabi,{d}IM-ra-bi4
236,236,Adad-rabi,{m}{d}IŠKUR-GAL
237,237,Adad-rabi,{d}IM.GAL-ma
238,238,Adad-rabi,{d}IŠKUR.GAL-ma
239,239,Adad-rabi,{d}IM-ra-bi4-ma
240,240,Adad-rabi,{d}IŠKUR-ri-bi4
241,241,Adad-rabi,{m}{d}IŠKUR.GAL
242,242,Adad-rabi,{d}IM-ra-bí
243,243,Adad-rabitum,{d}IŠKUR-ra-bi-tum
244,244,Adad-rē'ī,{d}IM-SIPA
245,245,Adad-rē'ī,{d}IM-SIPA-ma
246,246,Adad-re’i,{d}IM-SIPA
247,247,Adad-re’i,{d}IM-SIPA-ma
248,248,Adad-reṣi,{d}IM-re-ṣí
249,249,Adad-rēṣi,{d}IM-re-ṣí
250,250,Adad-rēṣī,{d}IM-re-ṣí
251,251,Adad-ribi,{d}IM-ri-bi
252,252,Adad-šamšī,{d}IM-{d}UTU-ši
253,253,Adad-simtī,{d}IM-sí-im-tí
254,254,Adad-ṣululi,{d}IM-ṣú-lu-li
255,255,Adad-ṣululi,{d}IM-ANDUL
256,256,Adad-ṣululī,{d}IM-ṣú-lu-li
257,257,Adad-ṣululī,{d}IM-ANDUL
258,258,Adad-ṣulūlī,{d}IM-ṣú-lu-li
259,259,Adad-ṣulūlī,{d}IM-ANDUL
260,260,Adad-ṭāb,{d}IM-DU10
261,261,Adad-taklāku,{d}IM-ták-lá-ku
262,262,Adad-takul,{d}IM-[t]ù-ku-ul
263,263,Adad-tappā'ī,IM-tap-pá-i-ma
264,264,Adad-tukultī,{d}IŠKUR-tù-kúl-tí
265,265,Adad-tukultī,{d}IM-tù-kul-tí
266,266,Adad-tukultī,{d}IŠKUR-tù-ku-ul-tí
267,267,Adad-tukultī,{d}IM-tu-kúl-tí
268,268,Adad-tukultī,{d}IŠKUR-tù-ku-ul
269,269,Adadā,A-da-da
270,270,Adadā,a-da-da-a
271,271,Adadā,a-ta-ta
272,272,Adadā,a-tá-ta
273,273,Adadā,a-da-da-a-a
274,274,Adadā,a-ta-ta-a
275,275,Adadā,a-tá-tá
276,276,Adadā,a-dá-da
277,277,Adadā,a-da-da-ma
278,278,Adadā,a-ta-ta-ma
279,279,Adadā,a-ta-a-ta
280,280,Adadā,{d}IM-a-a
281,281,Adada,A-da-da
282,282,Adada,a-da-da-a
283,283,Adada,a-ta-ta
284,284,Adada,a-tá-ta
285,285,Adada,a-da-da-a-a
286,286,Adada,a-ta-ta-a
287,287,Adada,a-tá-tá
288,288,Adada,a-dá-da
289,289,Adada,a-da-da-ma
290,290,Adada,a-ta-ta-ma
291,291,Adada,a-ta-a-ta
292,292,Adada,{d}IM-a-a
293,293,Adadāya,A-da-da
294,294,Adadāya,a-da-da-a
295,295,Adadāya,a-ta-ta
296,296,Adadāya,a-tá-ta
297,297,Adadāya,a-da-da-a-a
298,298,Adadāya,a-ta-ta-a
299,299,Adadāya,a-tá-tá
300,300,Adadāya,a-dá-da
301,301,Adadāya,a-da-da-ma
302,302,Adadāya,a-ta-ta-ma
303,303,Adadāya,a-ta-a-ta
304,304,Adadāya,{d}IM-a-a
305,305,Adadia,A-da-dí-i-a
306,306,Adadia,a-da-di-a
307,307,Adadia,a-ta-tí-a
308,308,Adadia,a-ta-tí-a-ma
309,309,Adadi,a-da-dí
310,310,Adadi,a-ta-tí
311,311,Adadua,a-da-du-wa
312,312,Adadua,a-da-du-a
313,313,Adaduwa,a-da-du-wa
314,314,Adaduwa,a-da-du-a
315,315,Adahšu,[A]-ta-ah-šu
316,316,Adala,a-da-lá
317,317,Adallal,A-da-làl
318,318,Adamaluni,A-da-ma-ku-ni
319,319,Adana,A-da-na
320,320,Addu,A-du
321,321,Addu,A-du-ú
322,322,Adduwa,A-du-wa
323,323,Adduwa,A-du-wa-a
324,324,Adi-Aššur,A-dí-A-šùr
325,325,Adi-matum,A-dí-ma-tum
326,326,Adia,A-dí-a
327,327,Adida,A-dí-da
328,328,Adida,A-dí-ta
329,329,Adidum,A-dí-dim
330,330,Adimātum,A-dí-ma-tum
331,331,Adina,A-dí-na
332,332,Adiu,A-dí-ú
333,333,Admati-ilī,Ad-ma-tí-i-li
334,334,Adu,A-du
335,335,Adû,A-du-ú
336,336,Adû,A-tù
337,337,Adû,A-du
338,338,Adu,A-du-ú
339,339,Adu,A-tù
341,340,Adua,A-du-a
342,341,Adua,A-du-a-a
343,342,Aduahši,A-du-ah-ší
344,343,Aduahšu,A-du-ah-šu
345,344,Aduašu,A-du-a-šu
346,345,Aduda,A-du-da
347,346,Adudadi,A-du-da-dí
348,347,Adudāya,A-du-da-a
349,348,Adudāya,A-du-ta-a
350,349,Adudi,A-du-dí
351,350,Adudu,A-du-du
352,351,Adudu,a-du-du
353,352,Adudu,a-du-d[u]
354,353,Adudu,[a]-du-du
356,354,Adudu,A-du-du-um
357,355,Adudua,A-du-du-a
358,356,Adudua,A-du-du-wa
359,357,Adudum,A-du-du-um
360,358,Adue,A-du-e
361,359,Aduki,A-du-ki
362,360,Aduki,A-du-[k]i
363,361,Adula,A-du-la
364,362,Aduma,A-du-ma
365,363,Aduman,a-du-ma-an
366,364,Aduman,A-du-ma-an
367,365,Aduman,An-du-ma-an
368,366,Aduman,a-du-ma[-an]
369,367,Aduna’a,a-du-[n]a-a
370,368,Aduria,A-du-ri
371,369,Aduria,a-du-ri-a
372,370,Aduta,A-du-ta
373,371,Aduta,A-du-ta-a
374,372,Aduwa,a-du-wa
375,373,Aduwa,a-du-wa-a
376,374,Aduwašu,a-du-a-šu
377,375,Aduwe,A-du-e
378,376,Aga,A-ga
379,377,Agabši,a-ga-áb-ší
381,378,Agabši,a-ga<-áb>-ší
382,379,Agaya,A-ga-a
383,380,Agi-Anu,A-ki-a-num
384,381,Agia,A-gi-a
385,382,Agta,Ag-ta
386,383,Agua,A-gu-a
387,384,Agua,A-gu-a-a
388,385,Agua,A-gu-ú-a
389,386,Agua,A-ku-a
390,387,Agua,A-ku-ú-a
393,388,Ah-šalim,Ah-ša-lim
394,389,Aha,A-ha-a
395,390,Ahaha,A-ha-ha
396,391,Ahaha,A-ha-ha-a
397,392,Ahailu..ku,A-ha-i-lu--ku
398,393,Ahalab,A-ha-lá-ap/áp
399,394,Aham-arši,Ah-mar-ší
400,395,Aham-larši,A-ha-
401,396,Ahanarši,A-ha-na-ar-ší
402,397,Ahanišu,A-ha-ni-šu
403,398,Ahanišu,a-ha-ni-šu-ma
404,399,Ahānum,A-ha-nu-um
405,400,Ahānum,A-ha-lim
406,401,Ahar,A-ha-ar
407,402,Ahatim,A-ha-tim
408,403,Ahatitum,A-ha-at-tim
409,404,Ahatitum,A-ha-tí-tim
410,405,Ahatu,A-ha-tu
411,406,Ahātua,A-ha-tu-a
412,407,Ahatum,A-ha-tu-um
413,408,Ahātum,A-ha-tu-um
414,409,Ahāya,a-ha-a
415,410,Ahe,A-hi-e
416,411,Ahi-aya,A-hi-a
417,412,Ahi-aya,a-hi-a-a
418,413,Ahia,A-hi-a
419,414,Ahia,a-hi-a-a
420,415,Ahia’a,a-hi-a-a
421,416,Ahiya,a-hi-a-a
422,417,Ahīya,A-hi-a-a
423,418,Ahīya,A-hi-e-a
424,419,Ahšila,Ah!-ší!-lá!
425,420,Ahu,A-a-hu-ú
426,421,Ahu-<gap>-ša,a-hu-[x]-ša
427,422,Ahu-ahī,A-hu-a-hi
428,423,Ahu-ahī,A-hu-wa-hi
429,424,Ahu-DU10,a-hu-DU10
430,425,Ahu-kēn,A-hu-ki-in
431,426,Ahu-ṭab,a-hu-DU10
432,427,Ahu-ṭāb,a-hu-DU10
433,428,Ahu-waqar,A-hu-wa-qar
434,429,Ahu-waqar,A-hu-qar
435,430,Ahuqar,A-hu-wa-qar
436,431,Ahuqar,A-hu-qar
437,432,Ahua,a-hu-a
438,433,Ahua,A-hu-a
439,434,Ahua,A-hu-ú-a
440,435,Ahua,a-hu-ú-a
441,436,Ahuea,A-hu-e-a
442,437,Ahumila,A-hu-me-lá
443,438,Ahuni,a-hu-ni
444,439,Ahunia,A-hu-ni-a
445,440,Ahuša,A-hu-ša
446,441,Ahušunu,A-hu-šu-nu
447,442,Ahuwaqar,A-hu-wa-qar
448,443,Ahuwāya,A-hu-wa-a-a
449,444,Ahuwāya,A-hu-wa-a
451,445,Ai-qudadi,a-i-qú-da-dí
452,446,Aikudadi,a-i-qú-da-dí
453,447,Ak,A-ak
454,448,Aka,A-ga-a
455,449,Akabši,A-ga-áp-ší
456,450,Akaka,a-ka-ka
457,451,Akala,A-ga-la
458,452,Akaliuman,A-kà-li-ú-ma-an
459,453,Akalum,a-ka-lum
460,454,Akalum,a-kà-li-im
461,455,Akalum,a-kà-lim
462,456,Akatia,A-kà-dí-a
463,457,Akatia,A-kà-tí-a
464,458,Akatia,A-ga-tí-a-[ma]
465,459,Akātia,A-kà-tí-a
466,460,Akāya,A-ga-a
467,461,Akazi,A-ga-zi
468,462,Akia,A-ki-a
469,463,Akia,A-ki-a-a
472,464,Akia,A-gi-a
473,465,Akiaya,A-ki-a-a
474,466,Akikia,A-ki-ki-a
475,467,Akita,A-ki-ta-a
476,468,Akitaya,a-ki-ta-a
477,469,Akitum,a-ki-tum
478,470,Akna,A-ak-na
479,471,Aku,A-ku
480,472,Akua,A-ku-a
481,473,Akudanum,a-ku-da-num
482,474,Akuka,A-ku-ga
483,475,Akuka,A-ku-kà
484,476,Akuka,A-ku-ka
485,477,Akukum,a-ku-ku
486,478,Akukum,a-ku-ku-um
487,479,Akukum,a-ku-ki-im
490,480,Akukum,a-ku-kum
491,481,Akuku,a-ku-ku
492,482,Akuku,a-ku-ku-um
493,483,Akuku,a-ku-ki-im
496,484,Akuku,a-ku-kum
497,485,Akusānum,A-ku-za-num
498,486,Akutia,A-ku-tí-a
499,487,Akutum,A-ku-du
500,488,Akutum,A-ku-tim
502,489,Akuwid,a-ku-wi-id
503,490,Akuza,A-ku-za-a
504,491,Akuza,A-ku-za
505,492,Akuza,A-gu-za
507,493,Akuzānum,A-ku-za-num
508,494,Al-ahi,Al-a-hi
509,495,Al-beli,Al-be-lí
510,496,Al-beli,Al-bé-lí
511,497,Al-bēli,Al-be-lí
512,498,Al-bēli,Al-bé-lí
513,499,Al-bēlī,Al-be-lí
514,500,Al-bēlī,Al-bé-lí
515,501,Al-ilī,A-li-li
516,502,Al-ṭab,A-al-DÙG
517,503,Al-ṭab,A-al-DU10
518,504,Al-ṭāb,A-al-DÙG
519,505,Al-ṭāb,A-al-DU10
520,506,Ala,A-lá
521,507,Ala’a,a-lá-a
522,508,Alabia,A-lá-pí-a
523,509,Alābu,A-lá-bu-um
524,510,Alābu,A-lá-bi4-im
525,511,Alābu,A-lá-bi-im
526,512,Alābu,A-la-bu-um
527,513,Alābum,A-lá-bu-um
528,514,Alābum,A-lá-bi4-im
529,515,Alābum,A-lá-bi-im
530,516,Alābum,A-la-bu-um
531,517,Alabum,A-lá-bu-um
532,518,Alabum,A-lá-bi4-im
533,519,Alabum,A-lá-bi-im
534,520,Alabum,A-la-bu-um
535,521,Ali-abum,A-lá-bu-um
536,522,Ali-abum,A-lá-bi4-im
537,523,Ali-abum,A-lá-bi-im
538,524,Ali-abum,A-la-bu-um
541,525,Alābum,A-la-bi-im
542,526,Alābum,a-la-be-im
546,527,Alabum,A-la-bi-im
547,528,Alabum,a-la-be-im
551,529,Ali-abum,A-la-bi-im
552,530,Ali-abum,a-la-be-im
554,531,Aladirum,a-lá-di-ru-um
555,532,Alahia,A-lá-hi-a
556,533,Alahim,A-lá-hi-im
557,534,Alahim,a-lá-hi-im
558,535,Alahim,[a-lá-hi]-im
559,536,Alahim,a-lá-h[i-im]
560,537,Alahiš,A-lá-hi-iš
561,538,Alahum,A-lá-hu-um
562,539,Alahum,A-la-hu-um
563,540,Ali-ahum,A-lá-hu-um
564,541,Ali-ahum,A-la-hu-um
565,542,Alakam,A-la-ku
566,543,Alakam,A-lá-ku
567,544,Alaku,A-la-ku
568,545,Alaku,A-lá-ku
571,546,Alal-mišar,A-lá-al-me-šar
572,547,Alala,A-la-la
573,548,Alalaš,a-lá-lá-áš
574,549,Alali-<gap>,A-la-li-<gap>
575,550,Alama,a-la-ma
576,551,Alama,a-lá-a-ma
577,552,Alama,a-lá-ma
578,553,Alāni,a-lá-ni
579,554,Alanu,a-lá-ni
580,555,Alaria,A-lá-ri-a
581,556,Alašaki,A-lá-ša-ki
582,557,Alauani,a-la-wa-ni
583,558,Alaumitia,A-lá-ú-me-tí-a
584,559,Alawa,A-lá-wa
585,560,Alawanni,A-lá-ú-a-ni
586,561,Alawašhi,A-lá-wa-áš-hi
587,562,Alayakaya,a-la-a-ka-a
588,563,Alayakaya,a-lá-kà
589,564,Ale,A-le-e
590,565,Ali,a-li
592,566,Ali,a-li-i
613,567,Ali-ahī,A-lá-hu-um
614,568,Ali-ahī,A-la-hu-um
617,569,Ali-ahum,A-la-hi-im
621,570,Ali-waqrum,A-li-wa-aq-ru-um
622,571,Ali-waqrum,A-lá-aq-ru-um
623,572,Alia,A-li-a
624,573,Alidi,a-li-dí
625,574,Alile,A-li-li-e
626,575,Alili,a-li-li
627,576,Alili,A-li-lim
629,577,Alilie,a-li-li-e
630,578,Alilu,a-li-lu
631,579,Alina,A-li-na
632,580,Ališa,A-li-ša
633,581,Alitum,A-li-tum
634,582,Aliya,A-li-a
635,583,Alkaria,Al-ga-ri-a
636,584,Alkaria,al-kà-ri-a
637,585,Alluwa,A-lu-a
638,586,Alluwa,A-lu-wa
639,587,Alluwa,A-lu-wa-a
640,588,Alp-ilī,al-pì-DINGIR
641,589,Alp-ilī,al-pì-li
642,590,Alp-ilī,al-pì-lí
643,591,Alp-ilī,el-pì-DINGIR
644,592,Alpu-ilī,Al-pì-DINGIR
645,593,Alpuar,Al-pu-ar
646,594,Alu,a-[l]u
647,595,Alu,a-lu
649,596,Alu,A-lu
650,597,Alu,A-lu-ú
652,598,Alu-šarrum,a-lu-LUGAL-ri-im
653,599,Alu-šarrum,a-lu-šar-um
654,600,Alu’u,a-lu-ú
655,601,Alua,a-lu-a
656,602,Alua,A-lu-ú-a
657,603,Alua,A-lu-a
658,604,Alua-rabi,a-lu-a-ra-bi
659,605,Alukrum,A-lu-uk-ri-im
660,606,Alulāya,A-lu-lá-a
661,607,Alulaya,A-lu-lá-a
662,608,Alulāya,A-lu-la/lá-a
663,609,Alulu,A-lu-lu
664,610,Alulu,a-lu-lu
665,611,Alulu,a-[lu-lu-ú]
666,612,Alulu,a-lu-lu-ú
667,613,Alulur,A-lu-lu-ur
668,614,Aluluwa,A-lu-lu
669,615,Aluluwa,A-lu-lu-ú
670,616,Aluluwa,A-lu-lu-wa
671,617,Aluluwa,a-lu-lu-wa
672,618,Aluluwa,a-lu[-lu-wa]
673,619,Alum,a-lum
674,620,Alum,a-lim{ki}
675,621,Alum,a-lim
676,622,Alum-ahšu,a-lu-um-a-ah-šu
677,623,Alumahšu,A-lu-um-a-ah-šu
678,624,Alumahšu,A-lu-ma-ah-ší
679,625,Alurani,a-lu-ra-ni
680,626,Alutani,a-lu-ta-ni
681,627,Aluwa,a-lu-wa-a
682,628,Aluwa,a-lu-wa
683,629,Aluwahariša,A-lu-wa!-ha!-ri-ša
684,630,Aluwazi,A-lu-a-zi
685,631,Aluwazi,A-lu-wa-zi
686,632,Aluzubu,a-lu-zu-bu
687,633,Alwana,a-al-wa-na
688,634,Alwana,al-wa-na
689,635,Alzahala,Al-za-ha-lá
690,636,Ama,A-m[a]
691,637,Ama,a-ma
692,638,Ama’a,A-ma-a
693,639,Amaba,A-ma-pá
694,640,Amakani,a-ma-ka-ni
695,641,Amalia,a-ma-[l]i-a-áš
696,642,Amalia,a-ma-li-a
697,643,Amalia,A-ma-li-[
698,644,Amaliaš,a-ma-[l]i-a-áš
699,645,Amaliaš,a-ma-li-a
700,646,Amaliaš,A-ma-li-[
701,647,Amalu,A-ma-lu
702,648,Amama,A-ma-ma
703,649,Amārum,A-ma-ri-im
704,650,Amašuišmiš,A-ma-šu-iš-me-iš
705,651,Amašuišmiš,A-ma-ší-wa-áš-[me]-iš
706,652,Amašuišmiš,a-ma-šu-iš-mì-iš
708,653,Amašuišmiš,a-ma-[ší-wa-áš-mì]-iš
709,654,Amaya,A-ma-a
710,655,Amaya,A-ma-a-a
712,656,Amaya,Am-ma-a
713,657,Amāya,A-ma-a-a
714,658,Amāya,A-ma-a
715,659,Amāya,Am-ma-a
716,660,Amibura,A-mì-bu-ra
717,661,Amihepa,A-mì-hi-pá
718,662,Amimi,a-mi-mi
719,663,Amirša,A-me-er-ša
720,664,Amita,A-me-ta
721,665,Amlia,am-li-a
722,666,Amma,am-ma
723,667,Ammārum,A-ma-ri-im
724,668,Amra,Am-ra
725,669,Amrāya,Am-ra
726,670,Amrāya,Am-ra-a
727,671,Amria,Am-ri-a
729,672,Amria,A-am-ri-a
730,673,Amria,am-ri-a
731,674,Amria,a[m-ri-a]
732,675,Amriya,Am-ri-a
733,676,Amriya,A-am-ri-a
734,677,Amua,A-mu-a
735,678,Amubura,a-mu-bu-ra
736,679,Amuna,a-[m]u-na
737,680,Amuna,A-mu-na
738,681,Amunahšu,A-mu-na-ah-šu
739,682,Amunani,A-mu-na-ni
740,683,Amunāya,A-mu-na-a
741,684,Amur-Adad,A-mur-{d}IM
