,Unnamed: 0,id,source_id,row_index,segment_idx,akk,eng,transliteration,translation
10,10,10,,1178,0,a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš <gap> i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ṭup-pá-am ša ší-bu-tí-ni ni-dí-in," § The Kanesh colony gave us for these proceedings and we gave a tablet with our testimony before the dagger of Aššur. """,a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš <gap> i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ṭup-pá-am ša ší-bu-tí-ni ni-dí-in," § The Kanesh colony gave us for these proceedings and we gave a tablet with our testimony before the dagger of Aššur. """
11,11,11,,73,0,a-šùr-na-da DUMU šu-{d}EN.LÍL tap-pá-i-ni , Aššur-nādā son of Šu-Illil is our (absent) partner. ,a-šùr-na-da DUMU šu-{d}EN.LÍL tap-pá-i-ni , Aššur-nādā son of Šu-Illil is our (absent) partner. 
12,12,12,,73,1,a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šur ší-bu-tí-ni ni-dí-in,"The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger.""",a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šur ší-bu-tí-ni ni-dí-in,"The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger."""
13,13,13,,76,0,ša 24 ma-na KÙ.BABBAR i-dí-a-bu-um a-na a-šur-be-el-a-wa-tim ḫa-bu-lu šu-ku-bu-um me-ra-šu É-tí ša šál-ma-a-šur wa-áš-bu ik-nu-uk-ma am-tám ù ÌR-dí ú-šé-ṣí-ma i-na a-mu-tim ša É a-lim{ki} ša-lim-a-šur i-sí-ú-ma iš-tí id-na-a-šùr ad-mu-ma a-na kà-ni-iš ú-šé-bi₄-lu qá-tám ša šál-ma-a-šur šu-ku-bu-um DUMU a-šur-be-el-a-wa-tim a-na ḫu-bu-ul i-dí-a-bi₄-im il₅-qé-ma É-tí am-tám ù ÌR-dí a-na ša ki-ma šál-ma-a-šur ú-šé-er <gap> ,"Concerning the fact that Iddin-abum owes 24 minas of silver to Aššur-bēl-awātim: his son Šu-Kūbum has sealed the houses where Šalim-Aššur lives and taken out the maid and the slaves; but out of the iron that Šalim-Aššur claimed at the City Hall and which has been invested in Iddin-Aššur and which he sent to Kanesh, Šu-Kūbum son of Aššur-bēl-awātim has taken Šalim-Aššur's share to cover Iddin-abum's debt, and he has released the houses, the maid and the slaves to Šalim-Aššur's representatives. ",ša 24 ma-na KÙ.BABBAR i-dí-a-bu-um a-na a-šur-be-el-a-wa-tim ḫa-bu-lu šu-ku-bu-um me-ra-šu É-tí ša šál-ma-a-šur wa-áš-bu ik-nu-uk-ma am-tám ù ÌR-dí ú-šé-ṣí-ma i-na a-mu-tim ša É a-lim{ki} ša-lim-a-šur i-sí-ú-ma iš-tí id-na-a-šùr ad-mu-ma a-na kà-ni-iš ú-šé-bi₄-lu qá-tám ša šál-ma-a-šur šu-ku-bu-um DUMU a-šur-be-el-a-wa-tim a-na ḫu-bu-ul i-dí-a-bi₄-im il₅-qé-ma É-tí am-tám ù ÌR-dí a-na ša ki-ma šál-ma-a-šur ú-šé-er <gap> ,"Concerning the fact that Iddin-abum owes 24 minas of silver to Aššur-bēl-awātim: his son Šu-Kūbum has sealed the houses where Šalim-Aššur lives and taken out the maid and the slaves; but out of the iron that Šalim-Aššur claimed at the City Hall and which has been invested in Iddin-Aššur and which he sent to Kanesh, Šu-Kūbum son of Aššur-bēl-awātim has taken Šalim-Aššur's share to cover Iddin-abum's debt, and he has released the houses, the maid and the slaves to Šalim-Aššur's representatives. "
14,14,14,,76,1,a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in ,The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger. ,a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in ,The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger. 
15,15,15,,79,0,a-šùr-na-da DUMU šu-{d}EN.LÍL tap-pá-i-ni , Aššur-nādā son of Šu-Illil is our (absent) partner. ,a-šùr-na-da DUMU šu-{d}EN.LÍL tap-pá-i-ni , Aššur-nādā son of Šu-Illil is our (absent) partner. 
16,16,16,,79,1,a-na a-wa-tim a-ni-a-tim kà-ru-um kà-né-eš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in,"The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger.""",a-na a-wa-tim a-ni-a-tim kà-ru-um kà-né-eš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in,"The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger."""
17,17,17,,105,0,ša-lim-a-šùr šu-bé-lúm ù en-na-sú-in na-aṣ-bu-tù-ma um-ma šu-bé-lúm-ma a-na ša-lim-a-šùr a-na mì-nim tù-kà-al-ni-a-tí um-ma ša-lim-a-šur-ma a-na ḫu-bu-ul a-bi-ku-nu ša KÙ.BABBAR ú-ša-qí-lu ú-kà-al-ku-nu um-ma šu-bé-lúm-ma a-na ki ma-ṣí KÙ.BABBAR tù-kà-al-ni-a-tí a-na 1 GÚ-at ù 2 GÚ KÙ.BABBAR tù-kà-al-ni-a-tí um-ma ša-lim-a-šur-ma lu 1 GÚ lu 2 GÚ a ma-lá ṭup-pí ḫa-ru-mu-tim ša a-na ḫu-bu-ul a-bi-ku-nu KÙ.BABBAR ú-ša-qí-lu ú-kà-al-ku-nu ù qá-dum ṣí-ib-tí-šu a-na 5 GÚ KÙ.BABBAR i-tù-ar šu-bé-lúm uz-na-tí-ni il₅-pu-ut ša ni-iš a-lim{ki} ta-mu-ú lu-ú kà-i-lá ,"While Šalim-Aššur, Šu-Bēlum and Enna-Suen seized each other, Šu-Bēlum said to Šalim-Aššur: Why do you detain us?"" Šalim-Aššur answered: ""I detain you because of the debt of your father, for which I paid silver."" Šu-Bēlum asked: ""For how much silver do you detain us? Do you detain us for 1 talent or for 2 talents of silver?"" Šalim-Aššur answered: ""I detain you for either 1 or 2 talents according to the certified tablets, stating that I paid silver for the debt of your father. But including its interest it has become 5 talents of silver."" Šu-Bēlum reminded us: ""Keep this in mind, what was sworn by an oath by the City."" ",ša-lim-a-šùr šu-bé-lúm ù en-na-sú-in na-aṣ-bu-tù-ma um-ma šu-bé-lúm-ma a-na ša-lim-a-šùr a-na mì-nim tù-kà-al-ni-a-tí um-ma ša-lim-a-šur-ma a-na ḫu-bu-ul a-bi-ku-nu ša KÙ.BABBAR ú-ša-qí-lu ú-kà-al-ku-nu um-ma šu-bé-lúm-ma a-na ki ma-ṣí KÙ.BABBAR tù-kà-al-ni-a-tí a-na 1 GÚ-at ù 2 GÚ KÙ.BABBAR tù-kà-al-ni-a-tí um-ma ša-lim-a-šur-ma lu 1 GÚ lu 2 GÚ a ma-lá ṭup-pí ḫa-ru-mu-tim ša a-na ḫu-bu-ul a-bi-ku-nu KÙ.BABBAR ú-ša-qí-lu ú-kà-al-ku-nu ù qá-dum ṣí-ib-tí-šu a-na 5 GÚ KÙ.BABBAR i-tù-ar šu-bé-lúm uz-na-tí-ni il₅-pu-ut ša ni-iš a-lim{ki} ta-mu-ú lu-ú kà-i-lá ,"While Šalim-Aššur, Šu-Bēlum and Enna-Suen seized each other, Šu-Bēlum said to Šalim-Aššur: Why do you detain us?"" Šalim-Aššur answered: ""I detain you because of the debt of your father, for which I paid silver."" Šu-Bēlum asked: ""For how much silver do you detain us? Do you detain us for 1 talent or for 2 talents of silver?"" Šalim-Aššur answered: ""I detain you for either 1 or 2 talents according to the certified tablets, stating that I paid silver for the debt of your father. But including its interest it has become 5 talents of silver."" Šu-Bēlum reminded us: ""Keep this in mind, what was sworn by an oath by the City."" "
18,18,18,,105,1,a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in ,The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger. ,a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in ,The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger. 
19,19,19,,110,0,ša-lim-a-šùr a-na a-mur-IŠTAR ú-ṭá-ḫi-ni-a-tí-ma um-ma ša-lim-a-šùr-ma mì-šu-um ší-im 10 TÚG ku-ta-ni ša kà-ru-um dur₄-ḫu-mì-it a-dí-nu tal-qé um-ma a-mur-IŠTAR-ma ke-na 4 GÚ URUDU lá-mu-na-am al-qé um-ma ša-lim-a-šùr-ma ú-lá a-kà-lá-ma ta-al-qé um-ma a-mur-IŠTAR-ma a-ta-ba lu-qú-tí lá ta-aṣ-ba-at um-ma ša-lim-a-šùr-ma mì-ma lu-qú-ut-kà ú-lá aṣ-ba-at um-ma a-mur-IŠTAR-ma qá-i ÌR li-li-kam um-ma ša-lim-a-šùr-ma ma li-li-kam i-na pí-i ÌR-dí-kà-ma i-a-tí ta-a-ḫi-ta-ni lu qá-i um-ma ša-lim-a-šùr-ma ù KÙ.BABBAR ša a-šu-mì i-dí-a-bi₄-im ša ta-al-qé-ú ṭup-pá-am ḫa-ar-ma-am ú-kà-lu lu a-ḫu-ra ,"Šalim-Aššur made us approach Amur-Ištar and Šalim-Aššur said: ""Why have you taken the proceeds from 10 kutānu-textiles that I sold in the Durhumit colony?"" Amur-Ištar said: ""Yes, I have taken 4 talents of copper of poor quality."" Šalim-Aššur said: ""I hold nothing, yet you have taken it."" Amur-Ištar said: ""It is not you who have taken my merchandise?"" Šalim-Aššur answered: ""I have taken none of your merchandise."" Amur-Ištar then said: ""Wait until the slave has come here."" Šalim-Aššur said: ""Sure, let him come. Then it will be me you can pressure on the basis of what your own slave says."" ""Do wait!"" Šalim-Aššur continued: ""And for the silver that you have taken concerning Iddin-abum I hold the certified tablet. That remains."" ",ša-lim-a-šùr a-na a-mur-IŠTAR ú-ṭá-ḫi-ni-a-tí-ma um-ma ša-lim-a-šùr-ma mì-šu-um ší-im 10 TÚG ku-ta-ni ša kà-ru-um dur₄-ḫu-mì-it a-dí-nu tal-qé um-ma a-mur-IŠTAR-ma ke-na 4 GÚ URUDU lá-mu-na-am al-qé um-ma ša-lim-a-šùr-ma ú-lá a-kà-lá-ma ta-al-qé um-ma a-mur-IŠTAR-ma a-ta-ba lu-qú-tí lá ta-aṣ-ba-at um-ma ša-lim-a-šùr-ma mì-ma lu-qú-ut-kà ú-lá aṣ-ba-at um-ma a-mur-IŠTAR-ma qá-i ÌR li-li-kam um-ma ša-lim-a-šùr-ma ma li-li-kam i-na pí-i ÌR-dí-kà-ma i-a-tí ta-a-ḫi-ta-ni lu qá-i um-ma ša-lim-a-šùr-ma ù KÙ.BABBAR ša a-šu-mì i-dí-a-bi₄-im ša ta-al-qé-ú ṭup-pá-am ḫa-ar-ma-am ú-kà-lu lu a-ḫu-ra ,"Šalim-Aššur made us approach Amur-Ištar and Šalim-Aššur said: ""Why have you taken the proceeds from 10 kutānu-textiles that I sold in the Durhumit colony?"" Amur-Ištar said: ""Yes, I have taken 4 talents of copper of poor quality."" Šalim-Aššur said: ""I hold nothing, yet you have taken it."" Amur-Ištar said: ""It is not you who have taken my merchandise?"" Šalim-Aššur answered: ""I have taken none of your merchandise."" Amur-Ištar then said: ""Wait until the slave has come here."" Šalim-Aššur said: ""Sure, let him come. Then it will be me you can pressure on the basis of what your own slave says."" ""Do wait!"" Šalim-Aššur continued: ""And for the silver that you have taken concerning Iddin-abum I hold the certified tablet. That remains."" "
20,20,20,,110,1,a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in ,The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger. ,a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in ,The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger. 
