,row_index,segment_idx,akk,eng
77,231,2,2 GÚ URUDU ma-sí-am ša DU₁₀-pí-a-šùr ki-ma {d}UTU-a-bi a-na lu-zi i-dí-nu-ma ṭup-pá-am ša lu-zi DU₁₀-pí-a-šur iḫ-ri-mu um-ma DU₁₀-pí-a-šùr-ma šu-ma URUDU i-na kà-ni-iš{ki} {d}UTU-a-bi ša ki-ma ku-a-tí il₅-qé-ú a-na 1 GÚ URUDU ma-sí-im ša tal-qé-ú 2 ma-na KÙ.BABBAR ta-ša-qal DU₁₀-pí-a-šur ù {d}UTU-a-bi ša-bu-ú ṭup-pu-um ša 2 ma-na KÙ.BABBAR ša ta-ar-ki-is-tí lu-zi ša e-li-a-ni sà-ar," As to the 2 talents of washed copper that Ṭāb-pī-Aššur gave to Luzi on behalf of Šamaš-abī, and for which Ṭāb-pī-Aššur certified a tablet for Luzi: Ṭāb-pī-Aššur said: If your representatives have received the copper in Kanesh (from) Šamaš-abī, you must pay 2 minas of silver for every talent of washed copper."" Ṭāb-pī-Aššur and Šamaš-abī have been satisfied. Any tablet concerning 2 minas of silver from the contract of Luzi that may appear will be invalid."""
78,265,0,,
79,265,1,KIŠIB a-mur-{d}UTU DUMU mì-šar-GAL KIŠIB la-qé-pí-im DUMU {d}AB-ba-ni KIŠIB e-la-ma DUMU i-dí-sú-in ,"Seal of Amur-Šamaš, son of Mīšar-rabi, seal of Lā-qēpum, son of Ellil-bāni, seal of Elamma, son of Iddin-Suen,"
80,265,2,ša ḫu-bu-ul e-la-ma DUMU i-dí-sú-in 0.5 ma-na 6 GÍN KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er e-la-ma im-dí-lúm i-šu ITU.KAM kán-wár-ta li-mu-um i-dí-a-šùr DUMU ku-bi-dí um-ma e-la-ma-ma 1 ma-na 6 GÍN KÙ.BABBAR-áp-kà a-mur-IŠTAR il₅-qé e-la-ma a-na im-dí-lim a-mur-IŠTAR ú-kà-an-ma šu-ma i li-bi a-mur-IŠTAR lá uk-ta-in KÙ.BABBAR ù ṣí-ba-sú e-la-ma a-na im-dí-lim i-ša-qal," about the debt of Elamma son of Iddin-Suen. 1 mina 6 shekels of refined silver Elamma owes to Imdī-ilum. Month IX, epoynmy of Iddin-Aššur, son of Kubīdi. Elamma said: 'Your 1 mina 6 shekels of silver Amur-Ištar has collected'. Elamma shall confirm Amur-Ištar (as having it) to Imdī-ilum and if he does not confirm that Amur-Ištar has it, Elamma will pay the silver and its interest to Imdī-ilum."
81,269,0,,
82,269,1,KIŠIB šu-ku-bi₄-im DUMU qá-a-tim KIŠIB a-lá-ḫi-im DUMU a-šur-ma-lik KIŠIB ku-na-a DUMU ma-na-na ,"Seal of Šu-Kūbum, son of Qa'atum, seal of Ali-ahum, son of Aššur-mālik, seal of Kunnāya, son of Manana."
83,269,2,a-na gám-ri-im ù ḫu-lu-qá-e ša ILLAT ì-lí-a-lim a-na mì-ma šu-um-šu ku-na-a a-na e-lá-ma ú-lá i-tù-ar a-na 30 ma-na AN.NA ša ku-na-a a-na ILLAT ì-li-a-lim nu-du-a-e i-dí-ú qá-de₈ ILLAT-ma a-na a-wi-tí-šu i-za-sú-um," For expenses and losses of the caravan of Ilī-ālum, whatsoever, Kunnāya shall not raise claim against Elamma. As for the 30 minas of tin, for which Kunnāya served Ilī-ālum's caravan a notice, it will belong to him together with (the other members of) the caravan according to its declared value."
84,272,0,,
85,272,1,KIŠIB MAN-a-šur ,Seal of Puzur-Aššur;
86,272,2,a-na a-nu-<gap>-an, to Anu<gap>
87,288,0,,
88,288,1,KIŠIB a-lu-lá-a DUMU a-li-a KIŠIB a-šur-pì-lá-aḫ DUMU šu-a-nim ,"Seal of Alulāya, son of Aliya, seal of Aššur-pilah, son of Šu-Anum."
89,288,2,a-mur-IŠTAR ú en-um-a-šur iṣ-bu-tù-ni-a-tí-ma dí-šu-nu ni-dí-ma i-ta-ma a-mur-IŠTAR i-na šu-ga-ri-e ša a-šur ṭup-pá-am en-um-a-šur ša be-ú-lá-at a-bi₄-šu IGI be-lá-nim ú ma-ṣí-ì-lí DUMU bu-zu-zi-im lá ú-kà-li-mu-ma i-ta-ma-ma ú en-um-a-šur ṭup-pá-am ša ku-nu-ki-šu en-um-a-šur a-na a-mur-IŠTAR i-dá-an ša ki-ma a-na be-ú-lá-at a-šur-i-mì-tí me-er-at e-lá-ma ú me-er-ú e-lá-ma a-na a-mur-IŠTAR lá i-tù-ru-ni ITU.1.KAM be-el-té-É.GAL-lim li-mu-um ša qá-té en-na-ma-nim a-wi-lu a-ni-ú-tum da-a-a-nu," Amur-Ištar and Ennam-Aššur seized us and we passed for them the following verdict: Amur-Ištar will swear by the -emblem of Aššur that Ennam-Aššur did not show him the contract of the working capital of his father in the presence of Bēlānum and Maṣi-ilī, son of Buzuzum, and then, when he swears, Ennam-Aššur will give Amur-Ištar a tablet with his seal stating that the daughter of Elamma and the sons of Elamma will not raise claims against Amur-Ištar. Month I, eponymy of the successor of Ennamānum. The above mentioned men were judges."
90,298,0,a-na ku-da-tim ,To Kudātum; 
91,298,1,KIŠIB na-áb-sú-in ù en-um-a-šùr,seal of Nāb-Suen and Ennam-Aššur.
92,298,2,,
93,300,0,,
94,300,1,KIŠIB a-na-na ,Seal of Abela;
95,300,2,a-na ili₅-ba-ni ú ki-li-il₅-zu-um, to Ilī-bāni and Kililsum.
96,309,0,,
97,309,1,KIŠIB a-šùr-i-mì-tí KIŠIB šu-a-nim KIŠIB i-dí-a-bi-im ,"Seal of Aššur-imittī, seal of Šu-Anum, seal of Iddin-abum."
98,309,2,ša 14 ma-na KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er i-dí-a-bi-im a-mur-IŠTAR i-šu-ú iš-tù ḫa-mu-uš-tim ša da-la-áš ù du-ùḫ-ni-iš a-na 43 ḫa-am-ša-tim i-ša-qal šu-ma i-na ma-lá u₄-me-šu lá iš-qúl 1.5 GÍN.TA i ITU.1.KAM a-1 ma-na-im ú-ṣa-áb i-na KÙ a-nim 5 0.6666 ma-na 5 GÍN ša a-šùr-e-mu-qí i-šé-ra-tim wa-ar-ki-a-tim i-ma-ar, Concerning 14 minas of refined silver that Iddin-abum owes to Amur-Ištar. Reckoned from the week of Dalaš and Duhniš he must pay within 43 weeks. If he has not paid within the stipulated term he must pay interest at the rate 1.5 shekel per month per mina. Of this silver 5.6666 minas 5 shekels belong to Aššur-emūqi. He will await the coming . 
99,325,0,,
100,325,1,KIŠIB du-šu-ba KIŠIB šu-ni-il₅-ga KIŠIB ší-li-ú-ma-an KIŠIB tal-ḫa-ma KIŠIB šar-bu-nu-a KIŠIB kà-áš-ší KIŠIB ga-dí-na ,"Seal of Dušuba, seal of Šunilga, seal of Šiliuman, seal of Talhama, seal of Šarbunuwa, seal of Kašši, seal of Gadina."
101,325,2,am-tám ku-zi-zi du-šu-ba ú šu-ni-il₅-ga a ší-mì-im i-dí-nu-ma 15 GÍN KÙ.BABBAR lá-ma-sú-tum ta-áš-qú-ul-ma am-tám ku-zi-zi ta-áš-am šu-ma um-ma du-šu-ba-ma ù šu-ni-il₅-ga-ma a-ma-at-ni ni-ta-ru 0.5 ma-na KÙ.BABBAR i-ša-qú-lu-ma am-tám i-ta-ru šu-ma ma-ma-an i-tù-ra-am um-ma šu-ut-ma am-tum i-a-tum du-šu-ba ú šu-ni-il₅-ga ú É-sú-nu a-da-ga-al šu-ma KÙ.BABBAR-pì lá i-ta-ad-nu-nim am-tum ku-zi-zi am-tí ù a ší-mì-im a-da-ší," The slave-girl Kuzizi Dušuba and Šunilga sold her and 15 shekels of silverLamassutum paid and bought the slave-girl Kuzizi. If Dušuba and Šunilga say: We want to take our slave-girl along"", they will pay 0.5 mina of silver and then they can take the slave-girl along. If anybody vindicates her, saying: ""The slave-girl is mine!"" then I have a claim on Dušuba and Šunilga and their house. Should they not give me my silver then the slave-girl Kuzizi is my slave-girl and I can sell her."""
102,341,0,,
103,341,1,KIŠIB a-šùr-e-mu-qí KIŠIB en-nam-a-šur KIŠIB i-dí-a-bi-im ,"Seal of Aššur-emūqi, seal of Ennam-Aššur, seal of Iddin-abum."
104,341,2,ša ḫu-bu-ul i-dí-a-bi-im <gap> KÙ.BABBAR ṣa-ru-pá-am a-na a-lá-ak šu-{d}EN.LÍL i-ša-qal šu-ma lá iš-qú-ul a-na ma-na-im 1.5 GÍN.TA i-na ITU.KAM ú-ṣa-áb ša a-šùr-ma-lik <gap>," Concerning Iddin-abum's debt. <gap> he will pay refined silver before Šu-Illil arrives. If he has not paid, he will pay interest at the rate 1.5 shekel per mina per month. Concerning Aššur-malik."
105,356,0,,
