,row_index,segment_idx,akk,eng
12,38,0,en-um-a-šùr a-na a-lá-ḫi-im iṣ-ba-at-ni-a-tí-ma um-ma en-um-a-šùr-ma a-na a-lá-ḫi-im-ma al-kam lá-áš-a-al-kà um-ma a-lá-ḫu-um-ma a-na mì-nim ta-ša-a-lá-ni um-ma en-um-a-šùr-ma a-na ta-aḫ-sí-sá-tim ša a-na-ku ù a-ta ni-kà-sí ni-sí-ú i ku-nu-ki-kà ù ku-nu-ki-a kà-an-kà-ni ik-ra-ni ú-lá kà-i-na-ni um-ma a-lá-ḫu-um-ma ta-aḫ-sí-sá-tim ša ku-nu-ki-a ú ku-nu-ki-kà kà-an-kà-ni ke-na ku-nu-ku-a lá a-na-ki-ir um-ma en-um-a-šur-ma ša ni-iš a-lim{ki} <gap> ta-mu-ú kà-i-lá <gap> a-na a-lim{ki} ú be-lí-a a-wa-tí bi₄-lá a-na a-wa-tim a-ni-a-tím kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in ,"Ennam-Aššur seized us against Ali-ahum and said to Ali-ahum: Come, let me question you!"" Ali-ahum answered: ""Why do you want to question me?"" Ennam-Aššur said: ""About the memoranda stating that I and you settled accounts. Contest or confirm to me that they are sealed by you and me."" Ali-ahum answered: ""As to the memoranda sealed by me and by you - yes, I do not contest my seal."" Ennam-Aššur said: ""Keep in mind what was sworn by the City! Bring my case to the City assembly and my lord."" The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger. "
13,38,1,IGI a-šur-GAL DUMU lá-qé-ep IGI ili₅-ba-ni DUMU a-mur-IŠTAR,"Witnessed by Aššur-rabi son of Lā-qēp, by Ilī-bāni son of Amur-Ištar."""
14,38,2,,
15,46,0,1 ma-na KÙ.BABBAR i-ṣé-er a-li-li ù kà-ar-ší-ni wa-al-dí-lúm ù IŠTAR-lá-ma-sí i-šu-ú a-na ša tù-ùḫ-tù-ḫa-nim 1.5 ma-na KÙ.BABBAR ù 2 UDU.ḪI.A i-du-nu ,Alili and Karšini owe 1 mina of silver to Waldi-ilum and Ištar-lamassī. They will give 1.5 mina of silver plus 2 sheep by the feast for Tuhtuhānum. Before your lord and your lady. 
16,46,1,IGI bé-li-kà-ù bé-el-tí-kà IGI wa-al-dí-lim ù kà-ar-ni-kà-šu,Witnessed by Waldi-ilum and Karnikašu.
17,46,2,,
18,68,0,<gap> ma-na <gap> ša iš-tù ḫa-muš-tim ša a-šùr-ma-lik DUMU a-lá-ḫi-im li-mì-im i-na-a ša i-ṣé-er en-um-a-šur DUMU ša-lim-a-šùr dan-a-šùr DUMU ša-lim-a-ḫi-im i-šu-ú KÙ.BABBAR ú ṣí-ba-sú en-um-a-šùr a-ḫu-šu ki-ma dan-a-šur ša-bu-ú ṭup-pu-um ḫa-ar-mu-um ša ḫu-bu-ul en-um-a-šur DUMU ša-lim-a-šùr ša e-li-a-ni sà-ar ,"<gap> minas of <gap> which Ennam-Aššur son of Šalim-Aššur owed to Dan-Aššur son of Šalim-ahum from the week of Aššur-malik son of Ali-ahum, eponymy Innaya, that silver and the accrued interest his brother Ennam-Aššur has been paid in full on behalf of Dan-Aššur. A certified tablet concerning the debt of Ennam-Aššur son of Šalim-Aššur that may appear will be invalid. "
19,68,1,IGI ku-ku-wa DUMU bu-da-tim IGI a-šur-{d}UTU-ši DUMU <gap> IGI PUZUR₄-a-šur <gap> dan <gap>,"Witnessed by Kukuwa son of Budātum, by Ašsur-šamšī son of <gap>, Puzur-Aššur <gap>"
20,68,2,,
21,75,0,17 ma-na KÙ.BABBAR ṣa-ru-pá-am ù 7.5 GÍN KÙ.GI pá-ša-lam a-šùr-i-mì-tí DUMU e-ta-a i-na ší-im SÍG.ḪI.A ša ú-ší-na-lam il₅-qé ,Aššur-imittī son of Etaya has received 17 minas of refined silver and 7.5 shekels of -gold from the proceeds of Ušinalam's wool. 
22,75,1,IGI e-nu-um-we-er DUMU šu-da-a IGI i-lá-áš-ra-ni DUMU sú-kà-li-a IGI en-na-sú-in DUMU i-dí-a-bi-im IGI DUMU a-bu-bu ,"Witnessed by Ennam-Wēr son of Šudaya, by Il-ašrannī son of Sukalliya, by Enna-Suen son of Iddin-abum, by Abūbu's younger son"
23,75,2,ta-ar-dí-im,. 
24,77,0,2 né-pí-šu 15 ma-na.TA ú iš-tí-in né-pí-šu-um 10 ma-na ni-is-ḫa-sú DIRI ša-du-a-sú ša-bu-ú ŠU.NÍGIN 42.3333 ma-na KÙ.BABBAR ṣa-ru-pá-am ku-nu-ki-a a-na a-lu-wa ù e-ni-ša-ri-im áp-qí-id-ma a-na a-lim{ki} a ma-lá tí-ir-tí-šu a-ṣé-er ša-lim-a-šùr ú-šé-bi-il₅-šu-nu a-ḫa-ma 13.3333 ma-na URUDU SIG₅ a-na ga-am-ri-šu-nu ù 5 GÍN KÙ.BABBAR a-na ú-ku-ul-tí-šu-nu a-dí-in ,"2 packages of 15 minas each plus a single package of 10 minas, its import duty added, its transport tariff paid - in all 42 ⅓ minas of refined silver under my seal, I entrusted to Aluwa and Enišārum, and I sent them to the City to Šalim-Aššur in accordance with his orders. Furthermore, I paid 13 ⅓ minas of good copper for their expenses and 5 shekels of silver for their food. "
25,77,1,IGI ili₅-ba-ni DUMU ba-ší-lam IGI a-ḫu-qar DUMU zu-ur-zu-ur IGI tù-ra-am-ì-lí DUMU e-dí-na-a-šùr ,"Witnessed by Ilī-bāni son of Baši-ilum, by Ahu-qar son of Zurzur, by Tūram-ilī son of Eddin-Aššur."
26,77,2,a-ḫa-ma 10.3333 ma-na 3.5 GÍN KÙ.BABBAR ṣa-ru-pá-am <gap> tum ni <gap> 0.5 GÍN ṣí-ba-tim ša i-na ṣé-ri-a il₅-qé-ú-ni a-na ḫu-bu-li-šu a-na kà-ri-im wa-aḫ-šu-ša-na áš-qúl ṣí-ba-at KÙ.GI ša ší-ip-kà-at a-šur-bé-el-a-wa-tim i-ší-tù," Furthermore, 10 ⅓ minas 3 ½ shekels of refined silver <gap> ½ shekel interest that they took on my account, I paid for his debt to the Wahšušana colony. The interest on the gold that remained of Aššur-bēl-awātim's investment.§"
27,81,0,2 GÚ 10 ma-na AN.NA ku-nu-ki 52 TÚG SIG₅ 3 ANŠE.ḪI.A ṣa-lá-mu ku-nu-ki ša a-šùr-ba-ni ù be-lúm-ba-ni ša tám-kà-ri-im a-na PUZUR₄-a-<gap> ip-qí-du lu-qú-tám a-ni-tám PUZUR₄-a-<gap> a-na a-lá-ḫi-im ip-qí-id ,"2 talents 10 minas of sealed tin, 52 good textiles, 3 black donkeys, sealed by Aššur-bāni and Bēlum-bāni and belonging to a merchant, they entrusted to Puzur-A<gap> Puzur-A<gap> entrusted these goods to Ali-ahum. "
28,81,1,IGI a-šùr-ba-ni DUMU ku-ta-a IGI SIG₅-pí-a-šùr DUMU ÌR-ad-ì-lí-šu DUMU a-šùr-i-dí,"Witnessed by Aššur-bāni son of Kutaya, by Damiq-pī-Aššur son of Warad-ilīšu, (grand)son of Aššur-idī."
29,81,2,,
30,122,0,a-na 15 u₄-me-e ḫa-mu-uš-tum ša en-na-sú-in DUMU ku-ra-ra ù a-šùr-ma-lik DUMU lá-qé-pí-im šu-ma a-na 5 u₄-me-e a-lu-ú DUMU a-du-du-ú la i-li-kà-ma a-wa-tám i-dí-nam KÙ.BABBAR ša al-qé-ú i-na ṣí-ib-tí-a ú-ṣa-ḫa-ar-ma ù a-na ma-la ṭup-pí-šu KÙ.BABBAR ù ṣí-ba-sú ba-lu-um dí-ni-im ù ma-mì-tim i-ša-qá-lam ,"Within 15 days (it is) the week of Enna-Suen son of Kurara and Aššur-malik son of Lā-qēp. If Alu son of Adudu has not come within 5 days and answered me in court, I shall deduct the money I took from my interest and then he must pay the silver and its interest in accordance with his tablet, without a verdict or an oath. "
31,122,1,IGI {d}MAR.TU-ba-ni DUMU ma-na-na IGI na-áb-sú-in DUMU e-šu-ba-ni IGI lá-qé-pí-im DUMU i-ze-za-am-DINGIR ,"Witnessed by Amurrum-bāni son of Manana, by Nāb-Suen son of Ešu-bāni, by Lā-qēp son of Izzizam-ilum."
32,122,2,ša ni-iš a-lim{ki} ta-mu-ú-ni uz-na-tí-šu-nu al-pu-ut, I impressed upon them what was sworn by the City.
33,127,0,um-ma i-tur₄-DINGIR-ma ù e-na-aḫ-DINGIR-ma a-na a-lá-ḫi-im-ma a-li-ik ṭup-pè-e ša a-BA-kà ù a-ḫi-kà pé-té-ma a-šar KÙ.BABBAR 1 GÍN ba-áb-tum ša a-bi-kà i-ba-ší ša-dí-in-ma a-na ḫu-bu-lim ša a-bi-kà šu-qú-ul ,"Itūr-ilī and Enah-ilī said to Ali-ahum: Go, open for your father's and your brother's tablets, and collect every single shekel's outstanding claim to your father, and pay it to cover your father's debt."" "
34,127,1,IGI a-dí-da DUMU ÌR-ad-i-li-šu IGI DU₁₀-ṣí-lá-a-šur DUMU a-li-li,"Witnessed by Adida son of Warad-ilišu, by Ṭāb-ṣill-Aššur son of Alili."""
35,127,2,,
36,137,0,20 ma-na URUDU ma-sí-am i-ṣé-er i-dí-a-bi-im ma-ma-ḫi-ir i-šu ITU.KAM li-mu-um bu-zu-ta-a a-na ša-na-at i-ša-qal šu-ma lá iš-qúl 1 ma-na.TA i-na ITU.KAM ṣí-ib-tám a-na 10 ma-na-e ú-ṣa-áb ,"Iddin-abum owes 20 minas of washed copper to Man-mahir. Month Kuzallu, eponym of Buzutaya. He must pay in one year. If he has not paid in time, he must pay interest at the rate 1 mina per ten minas per month. "
37,137,1,IGI ṣí-lu-uš-da-gan IGI a-šùr-ba-ni,"Witnessed by Ṣilluš-Dagān, by Aššur-bāni."
38,137,2,,
39,159,0,2.8333 ma-na 7 GÍN KÙ.BABBAR ku-nu-ki ša en-um-a-šur DUMU e-lá-ma šu-sú-in DUMU ì-lí-a a-na lá-ma-sí-tim ù ir-ma-a-šur ip-qí-id-ma KÙ.BABBAR ir-ma-a-šur a-na a-lim{ki} a-šur ú-ba-al-šu a-na ḫu-bu-ul en-um-a-šur a-na DAM.GÀR i-ša-qal KÙ.BABBAR a šu-mì en-um-a-šur GÁN-lam e-tí-iq ,"2 minas 57 shekels of silver under the seals of Ennam-Aššur, son of Elamma, Šu-Suen, son of Iliya, entrusted to Lamassutum and Ir'am-Aššur and Ir'am-Aššur will bring the silver to the city of Assur. He will pay it for the debt of Ennam-Aššur to the creditor. The silver will travel overland in the name of Ennam-Aššur. "
40,159,1,IGI pì-lá-aḫ-IŠTAR DUMU e-lá-ma IGI a-šur-ba-ni DUMU du-mu-uq-IŠTAR,"Witnessed by Pilah-Ištar, son of Elamma, and by Aššur-bāni, son of Dumuq-Ištar."
41,159,2,,
42,174,0,1.6666 ma-na 5 GÍN KÙ.BABBAR ša ša-da-na a-ša-at ú-ṣú-ur-ša-a-šur a-na PUZUR₄-a-šur DUMU a-šur-dan a ší-a-ma-tim i-dí-nu KÙ.BABBAR ú-zu-a il₅-qé šu-ma ša-da-na ú-lá ša ki-ma ša-da-na a-na PUZUR₄-a-šur DUMU a-šur-dan i-tù-ar ú-zu-a DUMU li-bi₄-a ú-ba-áb-šu ,"The 1.6666 mina 5 shekels of silver that Šāt-Anna, the wife of Uṣur-ša-Aššur, gave to Puzur-Aššur son of Aššur-dan for purchases, Uzuwa has received the silver. If Šāt-Anna or Šāt-Anna's representative raise claim against Puzur-Aššur son of Aššur-dan, then Uzuwa son of Libbiya will clear him. "
43,174,1,IGI na-áb-sú-in IGI DU₁₀-ṣí-lá-a-šur IGI {d}NIN.ŠUBUR-ba-ni,"Witnessed by Nāb-Suen, by Ṭāb-ṣill-Aššur, by Ilabrat-bāni."
44,174,2,,
45,185,0,a-ba-ba ra-bi₄-ṣú-um ša šál-ma-a-šur a-na en-um-a-šur DUMU šál-ma-a-šur ù ṣí-li-a ša ki-ma a-lá-ḫi-im a-ḫi-šu iṣ-ba-at-ni-a-tí-ma um-ma a-ba-ba ra-bi₄-ṣú-ma a-na en-um-a-šur ù ṣí-li-a ša ki-ma a-lá-ḫi-im 22 GÚ URUDU SIG₅ i-na li-bi₄-ku-nu um-ma en-um-a-šur-ma ù ṣí-li-a ša ki-ma a-lá-ḫi-im a-ḫi-šu ke-na i-na li-bi₄-ni i-na kà-ni-iš a-na-ku ù a-ḫi-i ni-za-ku-ma a-li URUDU i-na li-bi₄-ni i-bu-ra-ni KÙ.BABBAR-áp-šu ni-ta-dí-a-ku-um a-na a-wa-tim a-ni-a-tim kà-ru-um dur₄-ḫu-mì-it i-dí-ni-a-tí-ma IGI GÍR ša a-šur ší-bu-tí-ni ni-dí-in ,"Ababa, the attorney of Šalim-Aššur, seized us against Ennam-Aššur son Šalim-Aššur and Ṣilliya, his brother Ali-ahum's representative, and the attorney Ababa said to Ennam-Aššur and Ṣilliya, Ali-ahum's representative: 22 talents of good copper are in your possession."" Ennam-Aššur and Ṣilliya, his brother Ali-ahum's representative, answered: ""Yes, it is in our possession. In Kanesh I and my brother will make a settlement and wherever copper is shown as being owed by us, we shall deposit it for you."" The Durhumit colony gave us for these proceedings and we gave our testimony before Aššur's dagger. "
46,185,1,IGI DU₁₀-ṣí-lá-a-šur IGI šu-ki-tim IGI en-nu-um-sú-in,"Witnessed by Ṭāb-ṣill-Aššur, by Šukkutum, by Ennam-Suen."""
47,185,2,,
48,195,0,5 GÍN KÙ.BABBAR 1 na-ru-uq ŠE-am a-na mu-la GÉME ša a-šùr-ma-sú-i en-um-a-šùr i-dí-in um-ma en-um-a-šùr-ma KÙ.BABBAR ù ú-ṭá-tám ta-al-qí-i a-dí mu-ut-ki i-lá-kà-ni a-na É-bé-tí-šu ù a ma-tí-šu lá ta-ṭá-ḫi-i šu-ma a-na bé-tí-šu ù am-tí-šu ta-ṭá-ḫi-i 5 GÍN KÙ.BABBAR ù na-ru-uq ŠE-am um-mì-ki ù a-ḫu-ki KÙ.BABBAR ù ŠE-am ú-ta-ru-nim um-ma um-ma-ša ù a-ḫu-ša nu-ta-ra-kum ,"Ennam-Aššur gave 5 shekels of silver and 1 sack of barley to Mula, Aššur-massuʾī's maid. Ennam-Aššur said: You have received the silver and the grain. Until your husband arrives you are not to touch his house and his slave-girls. If you have touched his house and his slave-girls, your mother and your brother must return the 5 shekels of silver and the sack of barley."" Her mother and her brothers said: ""We shall return it to you."" "
49,195,1,IGI a-šur-na-da IGI a-šur-i-dí-in IGI ta-ar-ḫu-a-lá IGI ší-li-ú-ma-an,"Witnessed by Aššur-nādā, by Aššur-iddin, by Tarhuala, by Šiliuman."""
50,195,2,,
51,201,0,i-na dur₄-ḫu-mì-it i-nu-mì a-bu-ni me-tù-ni ma-ṣa-ar-tám ku-nu-ki ša a-bi-ni a-lá-ḫu-um ip-té-ma lu KÙ.BABBAR lu URUDU SIG₅ lu URUDU lá-mu-nam lu ḫu-sà-ra-am lu TÚG <gap> lu ṭup-pí ḫa-ru-mu-tim ša DAM.GÀR IGI 3 DUMU um-me-a-ni ù-šé-ṣí-a-ma a-na a-ni-na DUMU a-šur-be-el-a-wa-tim i-dí-ma i-na wa-ar-ki-tim ṭup-pu-ú É a-ni-na ,"In Durhumit, when our father died, Ali-ahum opened the strong-room sealed by our father, and witnessed by 3 affiliated traders he took out both silver, good copper, poor copper, lapis lazuli, textiles, and certified tablets concerning customers, and he gave it to Annina son of Aššur-bel-awātim, and later the tablets (were) in Annina's house. "
52,201,1,IGI sà-ak-li-a DUMU na-áp-ra-kà IGI PUZUR₄-a-šùr DUMU ší-ik-tí-ḫa-šu-ut IGI ili₅-ba-ni DUMU a-mur-IŠTAR,"Witnessed by Sakliya son of Napraka, by Puzur-Aššur son of Šikti-hašut, by Ilī-bāni son of Amur-Ištar."
53,201,2,, 
54,217,0,2 ma-na 16.1666 GÍN KÙ.BABBAR ṣa-ru-pá-am i li-bi e-na-a-šur DUMU a-mu-ra a-šur-ni-šu DUMU ì-lí-ILLAT-tí i-šu ,Ennam-Aššur son of Amuraya owes 2 minas 16.1666 shekels of refined silver to Aššur-nīšu son of Ilī-ellitī. 
55,217,1,IGI ku-li-a DUMU a-lá-bi-im IGI ur-ad-a-šur DUMU DIRI-im IGI a-šur-ma-lik DUMU sá-ma,"Witnessed by Kuliya son of Ali-abum, by Urad-Aššur son of Watrum, by Aššur-malik son of Samaya."
56,217,2,,
57,220,0,28 TÚG ku-ta-ni ù 1 ANŠE.ḪI.A ṣa-lá-mu-um šu-bé-lúm il₅-qé šu-ma lu-qú-tum a-na ša a-we-lá-tim ù šu-bé-lim lá i-tù-ar ší-im-šu-nu KÙ.BABBAR šu-bé-lúm a-na ša-lim-a-šùr i-ša-qá-al ŠÀ.BA 0.6666 ma-na 2 GÍN KÙ.BABBAR lu pá-zu-ur-tám lu ni-ip-lá-tim šu-bé-lúm iš-qú-ul lu-qú-tám ša PUZUR₄-a-šùr DUMU i-šar-ki-da-a-šur ú-šé-li-a-ni-ni ,"Šu-Bēlum received 28 kutānu-textiles and 1 black donkey. If the goods do not become the property of the woman and Šu-Bēlum, he must pay the proceeds from their sale in silver to Šalim-Assur. Of this, Šu-Bēlum has paid 42 shekels of silver, either smuggler's goods or balance payments. Goods that Puzur-Aššur son of Išār-kitt-Aššur brought up here. "
58,220,1,IGI ku-zi-zi-a IGI en-um-a-šùr DUMU ba-ba-a,"Witnessed by Kuziziya, by Ennam-Aššur son of Babaya."
59,220,2,,
60,230,0,0.5 ma-na KÙ.BABBAR i-ṣé-er a-zu a-lá-ḫu-um i-šu 5 na-ru-uq ŠE-am 5 na-ru-uq ar-ša-tim 2 UDU.ḪI.A ù 20 NINDA ṣí-ba-at KÙ.BABBAR-pì-im ù KÙ.BABBAR a-na ḫa-ar-pé-e ú-ba-lá-am ,"Azu owes 0.5 mina of silver to Ali-ahum. 5 sacks of barley, 5 sacks of wheat, 2 sheep and 20 loaves of bread are the interest on the silver; the silver itself he will bring by harvest. "
61,230,1,IGI ga-al-ga-li-a IGI ša-ra-ak-šu-na,"Witnessed by Galgaliya, by Šarakšuna."
62,230,2,, 
63,235,0,2.6666 ma-na 5 GÍN KÙ.BABBAR ṣa-ru-pá-am i li-bi i-ku-pí-a en-um-a-šur i-šu ú iš-tù ší-im 2 ma-na 2-<gap> GÍN AN.NA-ki-šu KÙ.BABBAR-áp-šu ṣa-ḫu-ru <gap> GÚ AN.NA i-ku-pí-a a-na en-um-a-šur e-zi-ib i-ta-dá-an AN.NA-ki-šu KÙ.BABBAR-áp-šu en-um-a-šur i-lá-qé ú 1 su-pá-nu-um ša KÙ.BABBAR a-na 1 ma-na 7 GÍN a-ḫa-ma ša 9 GÍN iš-<gap>-ḫu-lu-im a-na en-um-a-šur i-ku-pí-a e-zi-ib ,"Ikūn-pīya owes 2.6666 minas 5 shekels of refined silver to Ennam-Aššur; also, after the price in silver of his 2 minas 2<gap> shekels of tin has been deducted Ikūn-pīya will leave <gap> talents of tin for Ennam-Aššur. When the tin is sold, Ennam-Aššur will receive its value in silver. Also, 1 -container of silver for 1 mina 7 shekels; further, Ikūn-pīya will leave for Ennam-Aššur worth 9 shekels of <gap> "
64,235,1,IGI kur-ub-a-šur IGI GÚ-tim DUMU a-lá-ḫi-im IGI ma-ri-iḫ-šu ,"Witnessed by Kurub-Aššur, by Biltum son of Ali-ahum, by Marihšu."
65,235,2,§ a-ḫa-ma a-na 1 ma-na-im KÙ.BABBAR ṣa-ru-pí-im a-šu-mì i-ku-pí-a a-na i-na-a DUMU a-mu-ra-a a-pu-ul i ba-áb ḫa-ra-ni-a <gap>-ir IGI <gap> a-ḫi <gap> li-<gap>," Further, I balanced for 1 mina of refined silver because of Ikūn-pīya with Innaya son of Amuraya. When I shall leave on my journey <gap>"
66,243,0,ša ki-ma i-dí-a-šùr DUMU ku-bi₄-dí ù ku-la É i-dí-a-bi₄-im a-na ḫu-bu-ul i-dí-a-bi₄-im ik-nu-ku-ma am-tám ù ÌR uš-té-ṣí-ú i-na šál-ší-im ú-mì-im a-šur-i-mì-tí DUMU a-mur-DINGIR ša ki-ma šál-ma-a-šur 17 ma-na KÙ.BABBAR a-na ṣí-ib-tim il₅-qé-ma a-na ḫu-bu-ul i-dí-a-bi₄-im a-na ša ki-ma i-dí-a-šùr ù ku-lá a-lá-ḫu-um DUMU i-dí-sú-en li-ba-a DUMU ú-zu-a ù šu-be-lúm DUMU šál-ma-a-šur iš-qúl-ma É-tí am-tám ù ÌR ša i-dí-a-bi₄-im a-na a-šur-i-mì-tí DUMU a-mur-DINGIR ša ki-ma šál-ma-a-šùr ú-šé-ru a-na a-wa-tim a-ni-a-tim kà-ru-um kà-né-eš i-dí-ni-a-tí-ma ṭup-pá-am ša ší-bu-tí-ni IGI GÍR ša a-šùr ni-dí-in ,"The representatives of Iddin-Aššur son of Kūbi-idī and Kula sealed Iddin-abum's house because of Iddin-abum's debt, and they brought out the maid and slave. On the third day Aššur-imittī son of Amur-ilī, Šalim-Aššur's representative, borrowed 17 minas of silver against interest and paid it to cover Iddin-abum's debt to the representatives of Iddin-Aššur and Kula: Alāhum son of Iddin-Suen, Libbaya son of Uzuwa and Šu-Bēlum son of Šalim-Aššur, and they released Iddin-abum's houses, maid and slave to Aššur-imittī son of Amur-ilī, Šalim-Aššur's representative. The Kanesh colony gave us for these proceedings, and we gave a tablet with our testimony before Aššur's dagger. "
67,243,1,IGI ú-ra-a IGI a-ku-za IGI MAR.TU-ba-ni IGI lá-qé-pì-im IGI i-tur₄-DINGIR,"Witnessed by Uraya, by Akuza, by Amur-rum-bāni, by Lā-qēpum, by Itūr-ilī."
68,243,2,,
69,245,0,6 GÍN KÙ.BABBAR ù 20 ak-li i-ṣé-er kà-ar-ší-ni ù a-li-li IŠTAR-lá-ma-sí tí-šu iš-tù ḫa-muš-tim ša a-šur-i-mì-tí ITU.KAM ša sà-ra-tim li-mu-um a-šur-i-mì-tí 3 GÍN KÙ.BABBAR ṣí-ba-sú ù NINDA a-na ša-na-at ú-bu-lu-nim ,"Karšini and Alili owe 6 shekels of silver plus 20 loaves of bread to Ištar-lamassī. Reckoned from the week of Aššur-imittī, month Ša-sarrātim, eponymy Aššur-imittī, they will bring 3 shekels of silver, its interest, plus the bread within one year. "
70,245,1,IGI wa-al-dí-DINGIR IGI i-na-aḫ,"Witnessed by Waldi-ilum, by Inah."
71,245,2,, 
72,247,0,<gap> ki KÙ.BABBAR a-na ší-a-ma-tim ša-lim-a-šur i-dí-šum ,<gap> Šalim-Aššur gave him the silver for purchases. 
73,247,1,IGI en-na-sú-in DUMU i-ku-a-a IGI sà-li-a DUMU i-dí-a-šur IGI SIG₅-pí-a-šur IGI a-šur-na-da DUMU en-nam-a-šur,"Witnessed by Enna-Suen son of Ikuwaya, by Salliya son of Iddin-Aššur, by Damiq-pī-Aššur, by Aššur-nādā son of Ennam-Aššur."
74,247,2,, 
75,248,0,5 ma-na KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er i-dí-a-bi-im a-šur-{d}UTU-ši i-šu iš-tù ḫa-mu-uš-tim ša a-mur-IŠTAR a-na 23 ḫa-am-ša-tim i-ša-qal šu-ma i-na u₄-me-šu ma-al-ú-tim la iš-qú-ul 1.5 GÍN.TA i ITU.KAM a-na ma-na-im ú-ṣa-áb ,"Iddin-abum owes 5 minas of refined silver to Aššur-šamši. Reckoned from the week of Amur-Ištar he must pay in 23 weeks. If he has not paid before the completion of his term, he must pay interest at the rate 1.5 shekel per month per mina. "
76,248,1,IGI a-mur-IŠTAR IGI la-qé-ep,"Witnessed by Amur-Ištar, by La-qēp."
77,248,2,,
78,253,0,15.3333 GÍN 15 ŠE KÙ.BABBAR i-ṣé-er kà-ar-ší-ni a-lá-ḫu-um i-šu iš-tù ḫa-mu-uš-tim ša kà-ší-im ITU.KAM be-el-té-kál-lim li-mu-um ša qá-tí a-šur-i-mì-tí <gap> a-na e-tí-šu i-ša-qal <gap> ,"Karšini owes 15.3333 shekels 15 grains of silver to Ali-ahum. Reckoned from the week of the -official, month Bēlat-ekallim, in the eponymy after that of Aššur-imittī, he will pay at the earliest convenience. "
