,oare_id,aligned_transliteration,aligned_translation,comment
33,0480d321-8019-4775-bb29-5ac41b659c02_6,i-na lá i-da-i-a a-mì-ša-am i-tal-kam um-ma šu-ut-ma a-na e-lá-lí a-lá-ak,Without my knowledge he has left for there saying: I am going to Elālī.,Interval 40-49 adjusted to end of text
34,0.0,a-na a-ta-ta ù kà-nu-tim qí-bi₄-ma um-ma a-na-aḫ-ì-lí-ma,Say to Atata and Kannūtum thus Anah-ilī:,Segment covers the address formula words 0-6
35,1.0,0.5 ma-na KÙ.KI ù 1.5 ma-na KÙ.BABBAR ša kà-nu-tim ša il₅-ba-ni ki-ma kà-nu-tim KÙ.BABBAR ip-qí-da-ni a-na-kam a-lá-bu-um ú-ni-ḫi-ma KÙ.BABBAR 1 ma-na ú-ša-ag-me-er,"(As for the) 1/2 mina of gold and 1 1/2 mina of silver, belonging to Kannūtum, which silver Ilī-bāni, representing Kannūtum, entrusted to me - here Ali-abum has troubled me and caused expenses of 1 mina of silver.",Words 7-28; interval adjusted to end at ú-ša-ag-me-er
36,2.0,a-na a-lim{ki} im-ta-ša-ra-ni-ma i-na dí-in a-lim{ki} KÙ.BABBAR ú KÙ.KI a-lá-bu-um i-lá-qé-ma a-na a-wa-at kà-nu-tim lá-bu-um i-za-az,He has now dragged me before the City and by verdict of the City Ali-abum will take that silver and gold and Ali-abum will be responsible for Kannūtum's interests.,Words 29-44
37,3.0,šu-ma kà-nu-tum a-na a-na-aḫ-ì-lí ta-tù-wa-ar a-lá-bu-um ú-ša-ḫa-sú-ú,Should Kannūtum come back on Anah-ilī then Ali-abum will clear him.,Words 45-51
38,4.0,KÙ.BABBAR ú KÙ.KI šu-ut a-na É a-lim{ki} a-na ḫu-bu-ul ili₅-ba-ni i-ší-qí-il₅,"The afore-mentioned silver and gold have been paid to the ""City House"" for (to cover) Ilī-bāni's debts.",Words 52-62
39,5.0,a-ma-kam a-le té-er-tí ili₅-ba-ni i-ba-ší-ú ša 0.5 ma-na KÙ.KI pá-ša-lamₓ ù 1.5 ma-na KÙ.BABBAR ú ší-a-ma-tí-šu ṣa-áb-ta-ma mì-ṣí-a-ma li-qí-a,"Over there, wherever goods ordered by Ilī-bāni are available, seize for a value of 1/2 mina of pašallum gold and 1 1/2 mina of silver or what has been bought for it and take it at your own responsibility.",Words 63-81
40,6.0,ṭup-pá-am ša a-lim{ki} da-nam ša ki-ma KÙ.KI ú KÙ.BABBAR ša kà-nu-tí-ni ú-kà-al,I have a strong tablet of the City stating that the silver and gold belong to Kannūtum.,Words 82-93
41,7.0,ú šu-ma ku-li-a i-lá-kam-ma a-wa-tim ú-ga-mar a-dí a-lá-kà-ni i-ta-ba-lá-šu a-wa-tim lá tù-ga-ma-ra,"And if Kuliya comes in order to settle the affair, hold him in play until I arrive, do not settle the affair!",Words 94-105
42,06ec260a-bcc5-4762-b2ee-dfbc10cfbfbe,ṭup-pu-ú ḫa-ru-mu-tum ša ší-bi-a ša me-er-e i-dí-a-bi₄-im,Certified tablets with my witnesses concerning the sons of Iddin-abum.,Interval (0-7) covers the entire transliteration; single segment alignment is correct and complete.
43,091abe17-bf55-4912-b402-15442365622a_0.0,a-na a-lá-ḫi-im ú zu-ku-a qí-bi-ma um-ma PUZUR₄-a-šur-ma,To Ali-ahum and Zukuwa from Puzur-Aššur:,Standard epistolary opening formula; interval matches well
44,099eb63c-4a3c-4bca-baf4-705a46083a49_0,1.5 ma-na KÙ.BABBAR iš-ra-tim pu-šu-ki-in DUMU bu-za-zu i-na ku-bu-ur-na-at nu-ša-dí-in-ma ŠÀ.BA 1 ma-na KÙ.BABBAR šu-sú-in DUMU áb-lá-ma-sí ú a-šùr-i-dí DUMU a-da-da ku-nu-ki ša wa-bar-tim ú ku-nu-ki-a a-na kà-ri-im i-ni-iš-ú,"1.5 mina of silver, the tithe, we collected from Pusu-ken, son of Buzazu, in Kuburnat, and 1 mina of silver thereof Su-Suen, son of Abi-lamassi, and Assur-idi, son of Adada, are bringing to the karum under the seal of the wabartum and my seal.",Segment 0 - covers tokens 1-27 as per suggested interval
45,099eb63c-4a3c-4bca-baf4-705a46083a49_1,0.5 ma-na KÙ.BABBAR i-na tù-ùḫ-pí-a a-šùr-ma-lik DUMU ku-ra-ra e-pu-ul a-na kà-ri-im i-ša-qal,"For 0.5 mina of silver Assur-malik, Kurara's son, gave his promise in Tuhpiya, he will pay to the karum.",Segment 1 - covers tokens 28-41
46,099eb63c-4a3c-4bca-baf4-705a46083a49_2,15 GÍN KÙ.BABBAR DUMU a-lu-lá-a i-na ḫa-na-ak-na-ak nu-ša-dí-ma ku-nu-ki-ni li-ba-a ù ku-bi-a i-ni-iš-ú,15 shekels of silver we collected from Alulaya's son in Hanaknak and under our seals Libaya and Kubiya are bringing it.,Segment 2 - covers tokens 42-54
47,099eb63c-4a3c-4bca-baf4-705a46083a49_3,0.3333 ma-na KÙ.BABBAR ša-du-a-tám ni-mar-sú-in DUMU da-dí-a i-na du-ur-ḫu-mì-it nu-ša-dí,"0.3333 mana of silver, saddu'utu-tax, we levied from Nimar-Suen, son of Dadiya, in Durhumit.",Segment 3 - covers tokens 55-64
48,099eb63c-4a3c-4bca-baf4-705a46083a49_4,1.5 GÍN KÙ.AN iš-ra-tim šu-ma-bi₄-a DUMU a-šùr-e-li-tí nu-ša-dí-ma ku-nu-ke-e ša kà-ri-im du-ur-ḫu-mì-it i-na ší-na-ḫu-tim IGI wa-bar-tim a-na šu-a-nim DUMU me-na-nim ù ma-num-ki-{d}IŠKUR áp-qí-id-ma a-na kà-ri-im i-ni-iš-ú,"1.5 shekels of meteoric iron, the tithe, we levied from Sumi-abia, son of Assur-elliti, and under the seals of karum Durhumit I entrusted it in Sinahuttum before the wabartum to Su-Anum, son of Menanum, and Mannum-ki-Adad, who are bringing it to the karum.",Segment 4 - covers tokens 65-90
49,099eb63c-4a3c-4bca-baf4-705a46083a49_5,10 GÍN KÙ.BABBAR ša-du-a-tám bu-ṣí-a ša ku-bu-ur-na-at i-na tù-ùḫ-pí-a nu-ša-dí-ma ku-nu-ki-ni {d}EN.LÍL-ba-ni DUB.SAR a-na kà-ri-im i-ni-ší-i,"10 shekels of silver, saddu'utu-tax, we levied from Busia of Kuburnat in Tuhpiya and under our seals Enlil-bani, the scribe, is bringing it to the karum.",Segment 5 - covers tokens 91-106
50,099eb63c-4a3c-4bca-baf4-705a46083a49_6,0.5 ma-na KÙ.BABBAR ša-du-a-tám ṣú-,"Half a mina of silver, saddu'utu-tax, [we levied from] the servants of [Mannum-b]alum-Assur, son of Kukua.",Segment 6 - text breaks off with ṣú- indicating continuation into damaged/missing portion
51,0.0,a-na ku-li-a qí-bi₄-ma um-ma a-ba-ba-a-ma,To Kuliya thus says Ababaya:,Interval (0-5) correct
52,1.0,šál-ma-ni ṣú-ḫu-ur-kà ša-lim ni-šu-kà šál-mu,"We are well, your youngsters are well, and your people are well.",Interval (5-10) correct
53,2.0,ki-ma ku-a-tí i-<gap> a-bi₄-kà a-<gap> a-wa-tí-kà <gap> i-ṣé-ri-a <gap>,Like/Instead of your .... of your father ..... your words .... on me (?).....,Interval corrected to (10-19); suggested end of 20 was slightly off
54,3.0,ma-num <gap> li-dí-nam <gap>,Who could give me ..... ........,Interval corrected to (19-23); suggested (20-28) was off
55,4.0,ša ta-<gap> té-tap-ša-ni <gap> na,By what you .... you have treated me .... ....,Interval corrected to (23-28); segment boundary adjusted
56,5.0,<gap> lá i-<gap> e tù-kà-<gap> iš-tù na-áš-pè-er-ta-kà lá ta-lá-kà-ni,... do not .... since no letter of yours arrives here.,Interval corrected to (28-37); suggested (41-61) was significantly off
57,6.0,mì-nam ša ta-áš-ta-na-pá-ra-ni um-ma a-ta-ma ṣú-ba-tí ḫa-am-ša-at šé-bi₄-li-im,What is the purpose of constantly writing me as follows: Send me five textiles!,Interval corrected to (37-45); suggested (61-69) was off
58,7.0,mì-nam ṣú-ḫa-ar-kà li-ku-ul mì-nam a-ṣí-tí-kà lá-áš-qú-ul šu-ma a-na a-bi₄-kà lá uš-té-ri-id,"What should your boy eat, what should I (use to) pay for your expenditures if I had not humbled myself for your father.",Interval corrected to (45-56); suggested (69-80) was off
59,8.0,um-ma šu-ut-ma ú-ḫa-lá-qú-nu GA ša-ni-a-tù i pì-šu ša-ak-na,He said: He is destroying you .... he has evil intentions!,Interval corrected to (56-64); suggested (80-88) was off
60,9.0,me-er-a-at-kà iš-tí-a ta-al-ta-<gap> um wa-áš-ba-at <gap> ša É a-bi₄-ni tim,Your daughter is/keeps .... with me she lives .... of our paternal house .... [.......,Interval corrected to (64-74); suggested (88-95) was off
61,10.0,<gap> áb e ta-ḫi-ri-<gap> ta-áp-ḫi-ra-am a-dí-in-ma,I have sold the savings and slaughtered the ox.,Interval corrected to (74-80); suggested (108-95) was erroneous
62,11.0,GU₄ aṭ-bu-ùḫ ší-ru-um ša i-ri-u ša-áp-lá-nu-um i-tab-ku,The meat which remained they have stored below.,Interval corrected to (80-87); suggested (112-95) was erroneous
63,12.0,4 GÚ URUDU ag-mur <gap>-KAM ṣú-ùḫ-ur-kà lá i-mu-ut,I have spent 4 talents of copper (for) your youngsters must not die!,Interval corrected to (87-95); suggested (118-95) was erroneous
64,0.0,17 ma-na KÙ.BABBAR ṣa-ru-pá-am ù 7.5 GÍN KÙ.GI pá-ša-lam a-šùr-i-mì-tí DUMU e-ta-a i-na ší-im SÍG.ḪI.A ša ú-ší-na-lam il₅-qé,Aššur-imittī son of Etaya has received 17 minas of refined silver and 7.5 shekels of -gold from the proceeds of Ušinalam's wool.,Break after il₅-qé which closes the main transaction clause; interval suggestion of 18 is accurate.
65,1.0,IGI e-nu-um-we-er DUMU šu-da-a IGI i-lá-áš-ra-ni DUMU sú-kà-li-a IGI en-na-sú-in DUMU i-dí-a-bi-im IGI DUMU a-bu-bu ta-ar-dí-im,Witnessed by Ennam-Wēr son of Šudaya, by Il-ašrannī son of Sukalliya
66,0e330375-456e-4955-a1a5-083183efa458,5 ma-na KÙ.BABBAR KI a-šur-ta-ak-lá-ku,5 minas of silver is owed by Aššur-taklāku.,Interval adjusted to cover words 1-5 matching the guide translation; suggested interval (2-25) appears too broad for this segment.
67,0.0,um-ma kà-ru-um kà-ni-iš-ma a-na ša-qí-il₅ da-tim ku-li-a ší-ip-ri-ni wa-bar-tim ša ku-bur-na-at ḫa-na-ak-na-ak ú tí-iš-mur-na TUR GAL qí-bi₄-ma,Thus kārum Kanish say to the dātu-payers our messenger Kuliya the plenary wabartums of Kuburnat Hanaknak and Tišmurna:,Tokens 0–16; suggested interval (0-17) correct
68,1.0,i {d}UTU-ši ṭup-pì-ni ta-ša-me-a-ni GÍR ša a-šur IGI ku-li-a ší-ip-ri-ni šé-ṣí-a-ma ma-ma-an a-ma-kam KÙ.AN na-áš-ú lu a-na ší-mì-im a-na É.GAL-lim i-dí-nu lu a-dí-ni lá i-dí-in-ma na-ší 10-tim ša KÙ.AN ú ša-du-a-sú 1 ma-na-um 3 GÍN KÙ.BABBAR ša-ás-qí-lá-ma,As soon as you hear our letter produce the dagger of Assur out in the presence of our messenger Kuliya and whoever over there carries meteoric iron whether he has already sold it to a palace or has not yet sold it and still carries it make him pay the tithe on the meteoric iron and his šaddu'utu-tax of 3 shekels of silver per mina.,Tokens 17–53; suggested interval (17-54) correct
69,2.0,ku-li-a i pá-ni-šu-nu lu-ub-lam,Let Kuliya personally(!) bring it here.,Tokens 54–57; suggested interval (54-58) correct
70,3.0,šu-ma i-qá-bi₄ um-ma šu-ut-ma KÙ.AN ša a-wi-lim ša NÍG.KA-sí 10-tim ú ša-du-a-sú le-qé-a-ma ša ba-ri-ni li-li-kam-ma GÍR ša a-šur li-it-ma-ma ša-du-a-sú nu-ta-ar,"If one protests and declares: ""The meteoric iron belongs to a man with an account!"" take the tithe and his šaddu'utu-tax and let somebody who is one of us come here to swear an oath by Aššur's dagger then we will give his šaddu'utu-tax back.",Tokens 58–79; suggested interval (58-80) correct
71,4.0,ni-ša-me-ma 30 ANŠE tù-i-mu-um DUMU a-šùr{ki} ḫa-ra-an sú-qí-nim ú-šé-ri-ba-am,We hear that an Assyrian Tu'imum has brought in 30 donkeys by way of the sunkinnu-road.,Tokens 80–88; suggested interval (80-89) correct
72,5.0,lá tù-i-mu-um ma-ma-an ḫa-ra-an sú-ki-nim e-ma-re sé-er-dam ú-šé-ri-ba-ni-ma a-ma-kam uš-té-bu-lu-ni lu wa-ší-ib kà-ri-im ú-šé-li-am GÍR ša a-šur šé-ṣí-a-ma a-ḫu-um pá-ni a-ḫi-im ú-lá ú-ba-al,Not just Tu'imum but anybody who has brought in a loaded donkey by way of the sukinnu-road in order to do business there or if an inhabitant of a kārum has brought up (goods) - produce the dagger of Assur and people shall not spare each other!,Tokens 89–111; suggested interval (89-117) adjusted to 89-111
73,6.0,1 ma-na um 3 GÍN KÙ.BABBAR ša,Charge everybody his šaddu'utu-tax at a rate of three shekels of silver per mina.,Tokens 112–118; text breaks off mid-sentence with ša indicating tablet continues; segments 7-10 correspond to text beyond preserved portion
74,7.0,[text not preserved in transliteration],And make them pay; Kuliya personally bring it here.,Text continues beyond preserved transliteration; interval markers (121-119) indicate continuation
75,8.0,[text not preserved in transliteration],"If somebody protests saying: ""I will go to clear myself in kārum Kanesh"" (still) make him pay the silver and let him come here afterwards in order to clear accounts with us.",Text continues beyond preserved transliteration; interval markers (126-119) indicate continuation
76,9.0,[text not preserved in transliteration],Take care that our messenger Kuliya is not delayed.,Text continues beyond preserved transliteration; interval markers (141-119) indicate continuation
77,10.0,[text not preserved in transliteration],Make people pay the silver don't allow them to make trouble there!,Text continues beyond preserved transliteration; interval markers (146-119) indicate continuation
78,1252b18d-4b89-4af9-b6b9-199b40c13848_0.0,a-na a-lá-ḫi-im qí-bi-ma um-ma SIG₅-pí-i-a-šur-ma,To Ali-ahum from Damiq-pī-Aššur:,Standard Old Assyrian epistolary opening formula; SIG₅-pí-i-a-šur = Damiq-pī-Aššur
79,132bb95c-07f6-4ef2-a8ff-ee8a54fbc1d5_0.0,a-na a-dí-da a-lá-ḫi-im ú a-ba-a a-na a-ba-a qí-bi-ma um-ma SIG₅-pì-a-šur-ma <gap>,"To Adida, Al-aḫum and Abaya; specifically to Abaya from Damiq-pī-Aššur",Standard Old Assyrian letter opening formula; SIG₅-pì-a-šur = Damiq-pī-Aššur; gap follows sender identification
80,14b6f3ac-433a-4c1e-a029-cbb28750364b_0.0,a-na a-lá-ḫi-im qí-bi-ma um-ma MAN-a-šur-ma,To Ali-ahum from Puzur-Aššur:,Standard Old Assyrian epistolary opening formula; MAN-a-šur = Puzur-Aššur
81,154bfa3c-bd94-439c-b139-06e6d0a027af_0,ma-na 2 GÍN KÙ.BABBAR i-ṣé-er me-a-ri a-lá-ḫu-um i-šu,Meari owes 1 mina 2 shekels of silver to Ali-ahum.,Interval adjusted to include i-šu (token 7); break after token 7
82,154bfa3c-bd94-439c-b139-06e6d0a027af_1,iš-tù ḫa-mu-uš-tim ša a-šur-i-mì-tí ITU.KAM ša ke-na-tim li-mu-um ša qá-tí a-šur-i-mì-tí 2 GÍN.TA i-na ITU.KAM-im ṣí-ib-tám ú-ṣa-áb,Reckoned from the week of Aššur-imittī, month Ša-kēnātim
83,154bfa3c-bd94-439c-b139-06e6d0a027af_2,IGI šu-pu-na-aḫ-šu IGI a-na-lí ú-mì-šu,Witnessed by Šuppun-ahšu, by Annali his mother.
84,0.0,20 ma-na URUDU ma-sí-am i-ṣé-er i-dí-a-bi-im ma-ma-ḫi-ir i-šu ITU.KAM li-mu-um bu-zu-ta-a a-na ša-na-at i-ša-qal,"Iddin-abum owes 20 minas of washed copper to Man-mahir. Month Kuzallu, eponym of Buzutaya. He must pay in one year.",Suggested interval start (6) was misplaced; segment correctly begins at token 0. Break after i-ša-qal (token 13) is accurate.
85,1.0,šu-ma lá iš-qúl 1 ma-na.TA i-na ITU.KAM ṣí-ib-tám a-na 10 ma-na-e ú-ṣa-áb IGI ṣí-lu-uš-da-gan IGI a-šùr-ba-ni,"If he has not paid in time, he must pay interest at the rate 1 mina per ten minas per month. Witnessed by Ṣilluš-Dagān, by Aššur-bāni.",Interval start at token 14 (šu-ma) is correct. Guide translation note: interest rate is 1 mina per 10 minas (not 10 per mina); high-quality translation is followed.
86,168d7873-608c-4ba9-9087-5f4945fdc7d7_0.0,a-na en-na-sú-in ú a-lá-ḫi-im qí-bi₄-ma um-ma PUZUR₄-a-šur-ma,To Enna-Suen and Ali-ahum from Puzur-Aššur:,Standard Old Assyrian epistolary opening formula; guide translation renders a-lá-ḫi-im as Al-aḫum while full translation uses Ali-ahum; interval (0-77) correctly captures this opening segment
87,0.0,a-na ì-lí-ba-ni ù ku-li-a a-na ì-lí-ba-ni qí-bi-ma um-ma a-šùr-e-nam-ma,To Ilī-bāni and Kuliya, to Ilī-bāni in particular say
88,1.0,0.8333 ma-na KÙ.BABBAR i-na ša-lá-tí-wa-ar ku-li-a ku-nu-ki-šu i-dí-nam,In Šaladiwar Kuliya gave me 5/6 mina of silver under his seal.,Interval adjusted: starts at token 9 not 10
89,2.0,a-na wa-aḫ-šu-ša-na a-na ṣé-ri-kà ub-lam-ma um-ma a-na-ku-ma KÙ.BABBAR le-qé-ma ša-du-a-tám ša a-šu-mì ku-li-a ša ta-pu-lu šu-qú-ul,I brought it to Wahšušana to you and I said to you: Take this silver and pay (with it) the šaddu'utu-tax on behalf of Kuliya, as you promised.
90,3.0,um-ma a-ta-ma ke-na KÙ.BABBAR a-pu-ul,You answered: Indeed I did promise to pay that silver.,
91,4.0,ku-nu-ki ša a-ḫi-kà IGI a-šùr-lá-ma-sí DUMU a-šur-ma-lik ù šu-iš-ḫa-ra DUMU i-na-sú-in li-me-e áp-qí-da-kum,In the presence of Aššur-lamassī, son of Aššur-mālik
92,5.0,mì-nam a bé-et a-bi-a al-qé-ma a-ḫu-kà i-tù-ra-am,What did I take for my paternal house that your brother came back on me?,
